事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
山崎製パン株式会社,4010001008806,985834401,東京都千代田区,製造業 食料品製造業 パン・菓子製造業 パン製造業,"19,446 人",（記載なし）,（記載なし）,山崎製パン株式会社　伊勢崎工場,食料品製造業,群馬県伊勢崎市,"23,630 tCO2",23630,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985834401&office=山崎製パン株式会社　伊勢崎工場,山崎製パン株式会社,山崎製パン株式会社　伊勢崎工場,群馬県,985834401,製造業 食料品製造業 パン・菓子製造業 パン製造業
山崎製パン株式会社,4010001008806,985834401,東京都千代田区,製造業 食料品製造業 パン・菓子製造業 パン製造業,"19,446 人",（記載なし）,（記載なし）,山崎製パン株式会社　千葉工場,食料品製造業,千葉県千葉市,"22,769 tCO2",22769,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985834401&office=山崎製パン株式会社　千葉工場,山崎製パン株式会社,山崎製パン株式会社　千葉工場,千葉県,985834401,製造業 食料品製造業 パン・菓子製造業 パン製造業
山崎製パン株式会社,4010001008806,985834401,東京都千代田区,製造業 食料品製造業 パン・菓子製造業 パン製造業,"19,446 人",（記載なし）,（記載なし）,山崎製パン株式会社　名古屋工場,食料品製造業,愛知県名古屋市,"21,770 tCO2",21770,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985834401&office=山崎製パン株式会社　名古屋工場,山崎製パン株式会社,山崎製パン株式会社　名古屋工場,愛知県,985834401,製造業 食料品製造業 パン・菓子製造業 パン製造業
山崎製パン株式会社,4010001008806,985834401,東京都千代田区,製造業 食料品製造業 パン・菓子製造業 パン製造業,"19,446 人",（記載なし）,（記載なし）,山崎製パン株式会社　松戸工場　松戸第一工場,食料品製造業,千葉県松戸市,"21,512 tCO2",21512,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985834401&office=山崎製パン株式会社　松戸工場　松戸第一工場,山崎製パン株式会社,山崎製パン株式会社　松戸工場　松戸第一工場,千葉県,985834401,製造業 食料品製造業 パン・菓子製造業 パン製造業
山崎製パン株式会社,4010001008806,985834401,東京都千代田区,製造業 食料品製造業 パン・菓子製造業 パン製造業,"19,446 人",（記載なし）,（記載なし）,山崎製パン株式会社　岡山工場,食料品製造業,岡山県総社市,"19,283 tCO2",19283,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985834401&office=山崎製パン株式会社　岡山工場,山崎製パン株式会社,山崎製パン株式会社　岡山工場,岡山県,985834401,製造業 食料品製造業 パン・菓子製造業 パン製造業
山崎製パン株式会社,4010001008806,985834401,東京都千代田区,製造業 食料品製造業 パン・菓子製造業 パン製造業,"19,446 人",（記載なし）,（記載なし）,山﨑製パン株式会社　古河工場,食料品製造業,茨城県古河市,"19,174 tCO2",19174,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985834401&office=山﨑製パン株式会社　古河工場,山崎製パン株式会社,山﨑製パン株式会社　古河工場,茨城県,985834401,製造業 食料品製造業 パン・菓子製造業 パン製造業
山崎製パン株式会社,4010001008806,985834401,東京都千代田区,製造業 食料品製造業 パン・菓子製造業 パン製造業,"19,446 人",（記載なし）,（記載なし）,山崎製パン株式会社　大阪第二工場,食料品製造業,大阪府松原市,"18,442 tCO2",18442,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985834401&office=山崎製パン株式会社　大阪第二工場,山崎製パン株式会社,山崎製パン株式会社　大阪第二工場,大阪府,985834401,製造業 食料品製造業 パン・菓子製造業 パン製造業
山崎製パン株式会社,4010001008806,985834401,東京都千代田区,製造業 食料品製造業 パン・菓子製造業 パン製造業,"19,446 人",（記載なし）,（記載なし）,山崎製パン株式会社　武蔵野工場,食料品製造業,東京都東久留米市,"17,770 tCO2",17770,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985834401&office=山崎製パン株式会社　武蔵野工場,山崎製パン株式会社,山崎製パン株式会社　武蔵野工場,東京都,985834401,製造業 食料品製造業 パン・菓子製造業 パン製造業
山崎製パン株式会社,4010001008806,985834401,東京都千代田区,製造業 食料品製造業 パン・菓子製造業 パン製造業,"19,446 人",（記載なし）,（記載なし）,山崎製パン株式会社　安城工場,食料品製造業,愛知県安城市,"17,620 tCO2",17620,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985834401&office=山崎製パン株式会社　安城工場,山崎製パン株式会社,山崎製パン株式会社　安城工場,愛知県,985834401,製造業 食料品製造業 パン・菓子製造業 パン製造業
山崎製パン株式会社,4010001008806,985834401,東京都千代田区,製造業 食料品製造業 パン・菓子製造業 パン製造業,"19,446 人",（記載なし）,（記載なし）,山崎製パン株式会社　福岡工場,食料品製造業,福岡県古賀市,"17,072 tCO2",17072,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985834401&office=山崎製パン株式会社　福岡工場,山崎製パン株式会社,山崎製パン株式会社　福岡工場,福岡県,985834401,製造業 食料品製造業 パン・菓子製造業 パン製造業
