事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業,推移_合計_千tCO2_2022
日本製紙株式会社,8011501009422,985313100,東京都北区,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,"9,601 人",（記載なし）,（記載なし）,石巻工場,パルプ・紙・紙加工品製造業,宮城県石巻市,"728,069 tCO2",728069,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985313100&office=石巻工場,日本製紙株式会社,石巻工場,宮城県,985313100,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,
日本製紙株式会社,8011501009422,985313100,東京都北区,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,"9,601 人",（記載なし）,（記載なし）,岩沼工場,パルプ・紙・紙加工品製造業,宮城県岩沼市,"694,114 tCO2",694114,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985313100&office=岩沼工場,日本製紙株式会社,岩沼工場,宮城県,985313100,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,
日本製紙株式会社,8011501009422,985313100,東京都北区,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,"9,601 人",（記載なし）,（記載なし）,八代工場,パルプ・紙・紙加工品製造業,熊本県八代市,"559,615 tCO2",559615,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985313100&office=八代工場,日本製紙株式会社,八代工場,熊本県,985313100,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,
日本製紙株式会社,8011501009422,985313100,東京都北区,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,"9,601 人",（記載なし）,（記載なし）,釧路事業所,電気業,北海道釧路市,"523,147 tCO2",523147,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985313100&office=釧路事業所,日本製紙株式会社,釧路事業所,北海道,985313100,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
日本製紙株式会社,8011501009422,985313100,東京都北区,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,"9,601 人",（記載なし）,（記載なし）,白老工場,パルプ・紙・紙加工品製造業,北海道白老町,"500,211 tCO2",500211,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985313100&office=白老工場,日本製紙株式会社,白老工場,北海道,985313100,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,
日本製紙株式会社,8011501009422,985313100,東京都北区,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,"9,601 人",（記載なし）,（記載なし）,岩国工場,パルプ・紙・紙加工品製造業,山口県岩国市,"382,970 tCO2",382970,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985313100&office=岩国工場,日本製紙株式会社,岩国工場,山口県,985313100,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,
日本製紙株式会社,8011501009422,985313100,東京都北区,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,"9,601 人",（記載なし）,（記載なし）,大竹工場,パルプ・紙・紙加工品製造業,広島県大竹市,"351,063 tCO2",351063,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985313100&office=大竹工場,日本製紙株式会社,大竹工場,広島県,985313100,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,
日本製紙株式会社,8011501009422,985313100,東京都北区,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,"9,601 人",（記載なし）,（記載なし）,富士工場　吉永,パルプ・紙・紙加工品製造業,静岡県富士市,"330,551 tCO2",330551,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985313100&office=富士工場　吉永,日本製紙株式会社,富士工場　吉永,静岡県,985313100,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,
日本製紙株式会社,8011501009422,985313100,東京都北区,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,"9,601 人",（記載なし）,（記載なし）,秋田工場,パルプ・紙・紙加工品製造業,秋田県秋田市,"322,484 tCO2",322484,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985313100&office=秋田工場,日本製紙株式会社,秋田工場,秋田県,985313100,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,
日本製紙株式会社,8011501009422,985313100,東京都北区,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,"9,601 人",（記載なし）,（記載なし）,旭川工場,パルプ・紙・紙加工品製造業,北海道旭川市,"227,947 tCO2",227947,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985313100&office=旭川工場,日本製紙株式会社,旭川工場,北海道,985313100,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,
