事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
日本製鉄株式会社,3010001008848,985336900,東京都千代田区,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"28,708 人",5401,（記載なし）,日本製鉄株式会社　九州製鉄所　大分地区,鉄鋼業,大分県大分市,"15,246,603 tCO2",15246603,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985336900&office=日本製鉄株式会社　九州製鉄所　大分地区,日本製鉄株式会社,日本製鉄株式会社　九州製鉄所　大分地区,大分県,985336900,製造業 鉄鋼業 製鉄業 高炉による製鉄業
日本製鉄株式会社,3010001008848,985336900,東京都千代田区,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"28,708 人",5401,（記載なし）,日本製鉄株式会社　東日本製鉄所　君津地区,鉄鋼業,千葉県君津市,"14,593,218 tCO2",14593218,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985336900&office=日本製鉄株式会社　東日本製鉄所　君津地区,日本製鉄株式会社,日本製鉄株式会社　東日本製鉄所　君津地区,千葉県,985336900,製造業 鉄鋼業 製鉄業 高炉による製鉄業
日本製鉄株式会社,3010001008848,985336900,東京都千代田区,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"28,708 人",5401,（記載なし）,日本製鉄株式会社　名古屋製鉄所,鉄鋼業,愛知県東海市,"13,502,123 tCO2",13502123,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985336900&office=日本製鉄株式会社　名古屋製鉄所,日本製鉄株式会社,日本製鉄株式会社　名古屋製鉄所,愛知県,985336900,製造業 鉄鋼業 製鉄業 高炉による製鉄業
日本製鉄株式会社,3010001008848,985336900,東京都千代田区,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"28,708 人",5401,（記載なし）,日本製鉄株式会社　東日本製鉄所　鹿島地区,鉄鋼業,茨城県鹿嶋市,"12,301,603 tCO2",12301603,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985336900&office=日本製鉄株式会社　東日本製鉄所　鹿島地区,日本製鉄株式会社,日本製鉄株式会社　東日本製鉄所　鹿島地区,茨城県,985336900,製造業 鉄鋼業 製鉄業 高炉による製鉄業
日本製鉄株式会社,3010001008848,985336900,東京都千代田区,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"28,708 人",5401,（記載なし）,日本製鉄株式会社　九州製鉄所　八幡地区,鉄鋼業,福岡県北九州市,"8,582,213 tCO2",8582213,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985336900&office=日本製鉄株式会社　九州製鉄所　八幡地区,日本製鉄株式会社,日本製鉄株式会社　九州製鉄所　八幡地区,福岡県,985336900,製造業 鉄鋼業 製鉄業 高炉による製鉄業
日本製鉄株式会社,3010001008848,985336900,東京都千代田区,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"28,708 人",5401,（記載なし）,日本製鉄株式会社　関西製鉄所　和歌山地区,鉄鋼業,和歌山県和歌山市,"4,529,839 tCO2",4529839,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985336900&office=日本製鉄株式会社　関西製鉄所　和歌山地区,日本製鉄株式会社,日本製鉄株式会社　関西製鉄所　和歌山地区,和歌山県,985336900,製造業 鉄鋼業 製鉄業 高炉による製鉄業
日本製鉄株式会社,3010001008848,985336900,東京都千代田区,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"28,708 人",5401,（記載なし）,日本製鉄株式会社　瀬戸内製鉄所　広畑地区,鉄鋼業,兵庫県姫路市,"1,638,070 tCO2",1638070,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985336900&office=日本製鉄株式会社　瀬戸内製鉄所　広畑地区,日本製鉄株式会社,日本製鉄株式会社　瀬戸内製鉄所　広畑地区,兵庫県,985336900,製造業 鉄鋼業 製鋼・製鋼圧延業 製鋼・製鋼圧延業
日本製鉄株式会社,3010001008848,985336900,東京都千代田区,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"28,708 人",5401,（記載なし）,日本製鉄株式会社　九州製鉄所大分地区,鉄鋼業,大分県大分市,"850,073 tCO2",850073,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985336900&office=日本製鉄株式会社　九州製鉄所大分地区,日本製鉄株式会社,日本製鉄株式会社　九州製鉄所大分地区,大分県,985336900,製造業 鉄鋼業 製鉄業 高炉による製鉄業
日本製鉄株式会社,3010001008848,985336900,東京都千代田区,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"28,708 人",5401,（記載なし）,日本製鉄株式会社　北日本製鉄所　室蘭地区,鉄鋼業,北海道室蘭市,"681,526 tCO2",681526,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985336900&office=日本製鉄株式会社　北日本製鉄所　室蘭地区,日本製鉄株式会社,日本製鉄株式会社　北日本製鉄所　室蘭地区,北海道,985336900,製造業 鉄鋼業 製鉄業 高炉による製鉄業
日本製鉄株式会社,3010001008848,985336900,東京都千代田区,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"28,708 人",5401,（記載なし）,日本製鉄株式会社　　　東日本製鉄所　鹿島地区,鉄鋼業,茨城県鹿嶋市,"648,912 tCO2",648912,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985336900&office=日本製鉄株式会社　　　東日本製鉄所　鹿島地区,日本製鉄株式会社,日本製鉄株式会社　　　東日本製鉄所　鹿島地区,茨城県,985336900,製造業 鉄鋼業 製鉄業 高炉による製鉄業
