事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
日本郵便株式会社,1010001112577,989704675,東京都千代田区,複合サービス事業 郵便局 郵便局 郵便局,（記載なし）,（記載なし）,（記載なし）,ＪＰタワー,不動産賃貸業・管理業,東京都千代田区,"10,174 tCO2",10174,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=989704675&office=ＪＰタワー,日本郵便株式会社,ＪＰタワー,東京都,989704675,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
日本郵便株式会社,1010001112577,989704675,東京都千代田区,複合サービス事業 郵便局 郵便局 郵便局,（記載なし）,（記載なし）,（記載なし）,新東京郵便局,郵便業（信書便事業を含む）,東京都江東区,"9,778 tCO2",9778,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=989704675&office=新東京郵便局,日本郵便株式会社,新東京郵便局,東京都,989704675,運輸業，郵便業 郵便業（信書便事業を含む） 郵便業（信書便事業を含む） 郵便業（信書便事業を含む）
日本郵便株式会社,1010001112577,989704675,東京都千代田区,複合サービス事業 郵便局 郵便局 郵便局,（記載なし）,（記載なし）,（記載なし）,JPタワー名古屋,不動産賃貸業・管理業,愛知県名古屋市,"8,651 tCO2",8651,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=989704675&office=JPタワー名古屋,日本郵便株式会社,JPタワー名古屋,愛知県,989704675,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
日本郵便株式会社,1010001112577,989704675,東京都千代田区,複合サービス事業 郵便局 郵便局 郵便局,（記載なし）,（記載なし）,（記載なし）,新大阪郵便局,郵便業（信書便事業を含む）,大阪府大阪市,"7,834 tCO2",7834,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=989704675&office=新大阪郵便局,日本郵便株式会社,新大阪郵便局,大阪府,989704675,運輸業，郵便業 郵便業（信書便事業を含む） 郵便業（信書便事業を含む） 郵便業（信書便事業を含む）
日本郵便株式会社,1010001112577,989704675,東京都千代田区,複合サービス事業 郵便局 郵便局 郵便局,（記載なし）,（記載なし）,（記載なし）,名古屋神宮郵便局,郵便業（信書便事業を含む）,愛知県名古屋市,"4,273 tCO2",4273,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=989704675&office=名古屋神宮郵便局,日本郵便株式会社,名古屋神宮郵便局,愛知県,989704675,運輸業，郵便業 郵便業（信書便事業を含む） 郵便業（信書便事業を含む） 郵便業（信書便事業を含む）
日本郵便株式会社,1010001112577,989704675,東京都千代田区,複合サービス事業 郵便局 郵便局 郵便局,（記載なし）,（記載なし）,（記載なし）,銀座郵便局,郵便業（信書便事業を含む）,東京都中央区,"3,839 tCO2",3839,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=989704675&office=銀座郵便局,日本郵便株式会社,銀座郵便局,東京都,989704675,運輸業，郵便業 郵便業（信書便事業を含む） 郵便業（信書便事業を含む） 郵便業（信書便事業を含む）
日本郵便株式会社,1010001112577,989704675,東京都千代田区,複合サービス事業 郵便局 郵便局 郵便局,（記載なし）,（記載なし）,（記載なし）,東京北部郵便局,郵便業（信書便事業を含む）,埼玉県和光市,"3,744 tCO2",3744,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=989704675&office=東京北部郵便局,日本郵便株式会社,東京北部郵便局,埼玉県,989704675,運輸業，郵便業 郵便業（信書便事業を含む） 郵便業（信書便事業を含む） 郵便業（信書便事業を含む）
日本郵便株式会社,1010001112577,989704675,東京都千代田区,複合サービス事業 郵便局 郵便局 郵便局,（記載なし）,（記載なし）,（記載なし）,川崎東郵便局,郵便業（信書便事業を含む）,神奈川県川崎市,"3,369 tCO2",3369,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=989704675&office=川崎東郵便局,日本郵便株式会社,川崎東郵便局,神奈川県,989704675,運輸業，郵便業 郵便業（信書便事業を含む） 郵便業（信書便事業を含む） 郵便業（信書便事業を含む）
日本郵便株式会社,1010001112577,989704675,東京都千代田区,複合サービス事業 郵便局 郵便局 郵便局,（記載なし）,（記載なし）,（記載なし）,関東支社,郵便局,埼玉県さいたま市,"3,254 tCO2",3254,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=989704675&office=関東支社,日本郵便株式会社,関東支社,埼玉県,989704675,複合サービス事業 郵便局 管理，補助的経済活動を行う事業所（86郵便局） 管理，補助的経済活動を行う事業所
日本郵便株式会社,1010001112577,989704675,東京都千代田区,複合サービス事業 郵便局 郵便局 郵便局,（記載なし）,（記載なし）,（記載なし）,KITTE博多,不動産賃貸業・管理業,福岡県福岡市,"2,709 tCO2",2709,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=989704675&office=KITTE博多,日本郵便株式会社,KITTE博多,福岡県,989704675,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
日本郵便株式会社,1010001112577,989704675,東京都千代田区,複合サービス事業 郵便局 郵便局 郵便局,（記載なし）,（記載なし）,（記載なし）,京都郵便局,郵便業（信書便事業を含む）,京都府城陽市,"2,373 tCO2",2373,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=989704675&office=京都郵便局,日本郵便株式会社,京都郵便局,京都府,989704675,運輸業，郵便業 郵便業（信書便事業を含む） 郵便業（信書便事業を含む） 郵便業（信書便事業を含む）
日本郵便株式会社,1010001112577,989704675,東京都千代田区,複合サービス事業 郵便局 郵便局 郵便局,（記載なし）,（記載なし）,（記載なし）,神戸中央郵便局,郵便業（信書便事業を含む）,兵庫県神戸市,"2,322 tCO2",2322,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=989704675&office=神戸中央郵便局,日本郵便株式会社,神戸中央郵便局,兵庫県,989704675,運輸業，郵便業 郵便業（信書便事業を含む） 郵便業（信書便事業を含む） 郵便業（信書便事業を含む）
