事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
日産自動車株式会社,9020001031109,985612708,神奈川県横浜市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車製造業（二輪自動車を含む）,"28,025 人",（記載なし）,（記載なし）,日産自動車株式会社　栃木工場,輸送用機械器具製造業,栃木県上三川町,"218,247 tCO2",218247,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985612708&office=日産自動車株式会社　栃木工場,日産自動車株式会社,日産自動車株式会社　栃木工場,栃木県,985612708,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車製造業（二輪自動車を含む）
日産自動車株式会社,9020001031109,985612708,神奈川県横浜市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車製造業（二輪自動車を含む）,"28,025 人",（記載なし）,（記載なし）,日産自動車九州株式会社,輸送用機械器具製造業,福岡県苅田町,"136,018 tCO2",136018,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985612708&office=日産自動車九州株式会社,日産自動車株式会社,日産自動車九州株式会社,福岡県,985612708,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車製造業（二輪自動車を含む）
日産自動車株式会社,9020001031109,985612708,神奈川県横浜市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車製造業（二輪自動車を含む）,"28,025 人",（記載なし）,（記載なし）,日産自動車株式会社　横浜工場,輸送用機械器具製造業,神奈川県横浜市,"91,040 tCO2",91040,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985612708&office=日産自動車株式会社　横浜工場,日産自動車株式会社,日産自動車株式会社　横浜工場,神奈川県,985612708,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業
日産自動車株式会社,9020001031109,985612708,神奈川県横浜市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車製造業（二輪自動車を含む）,"28,025 人",（記載なし）,（記載なし）,日産自動車株式会社　追浜工場,輸送用機械器具製造業,神奈川県横須賀市,"64,032 tCO2",64032,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985612708&office=日産自動車株式会社　追浜工場,日産自動車株式会社,日産自動車株式会社　追浜工場,神奈川県,985612708,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車製造業（二輪自動車を含む）
日産自動車株式会社,9020001031109,985612708,神奈川県横浜市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車製造業（二輪自動車を含む）,"28,025 人",（記載なし）,（記載なし）,日産自動車株式会社　テクニカルセンター,輸送用機械器具製造業,神奈川県厚木市,"59,986 tCO2",59986,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985612708&office=日産自動車株式会社　テクニカルセンター,日産自動車株式会社,日産自動車株式会社　テクニカルセンター,神奈川県,985612708,製造業 輸送用機械器具製造業 管理，補助的経済活動を行う事業所（31輸送用機械器具製造業） 主として管理事務を行う本社等
日産自動車株式会社,9020001031109,985612708,神奈川県横浜市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車製造業（二輪自動車を含む）,"28,025 人",（記載なし）,（記載なし）,日産自動車株式会社　いわき工場,輸送用機械器具製造業,福島県いわき市,"33,238 tCO2",33238,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985612708&office=日産自動車株式会社　いわき工場,日産自動車株式会社,日産自動車株式会社　いわき工場,福島県,985612708,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業
日産自動車株式会社,9020001031109,985612708,神奈川県横浜市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車製造業（二輪自動車を含む）,"28,025 人",（記載なし）,（記載なし）,日産自動車株式会社　座間事業所,輸送用機械器具製造業,神奈川県座間市,"9,352 tCO2",9352,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985612708&office=日産自動車株式会社　座間事業所,日産自動車株式会社,日産自動車株式会社　座間事業所,神奈川県,985612708,製造業 輸送用機械器具製造業 管理，補助的経済活動を行う事業所（31輸送用機械器具製造業） その他の管理，補助的経済活動を行う事業所
日産自動車株式会社,9020001031109,985612708,神奈川県横浜市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車製造業（二輪自動車を含む）,"28,025 人",（記載なし）,（記載なし）,日産自動車株式会社　相模原部品センター,輸送用機械器具製造業,神奈川県相模原市,"5,714 tCO2",5714,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985612708&office=日産自動車株式会社　相模原部品センター,日産自動車株式会社,日産自動車株式会社　相模原部品センター,神奈川県,985612708,製造業 輸送用機械器具製造業 管理，補助的経済活動を行う事業所（31輸送用機械器具製造業） その他の管理，補助的経済活動を行う事業所
日産自動車株式会社,9020001031109,985612708,神奈川県横浜市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車製造業（二輪自動車を含む）,"28,025 人",（記載なし）,（記載なし）,日産自動車株式会社　先進技術開発センター,輸送用機械器具製造業,神奈川県厚木市,"5,470 tCO2",5470,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985612708&office=日産自動車株式会社　先進技術開発センター,日産自動車株式会社,日産自動車株式会社　先進技術開発センター,神奈川県,985612708,製造業 輸送用機械器具製造業 管理，補助的経済活動を行う事業所（31輸送用機械器具製造業） 主として管理事務を行う本社等
日産自動車株式会社,9020001031109,985612708,神奈川県横浜市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車製造業（二輪自動車を含む）,"28,025 人",（記載なし）,（記載なし）,日産自動車株式会社　グローバル本社,輸送用機械器具製造業,神奈川県横浜市,"4,589 tCO2",4589,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985612708&office=日産自動車株式会社　グローバル本社,日産自動車株式会社,日産自動車株式会社　グローバル本社,神奈川県,985612708,製造業 輸送用機械器具製造業 管理，補助的経済活動を行う事業所（31輸送用機械器具製造業） 主として管理事務を行う本社等
日産自動車株式会社,9020001031109,985612708,神奈川県横浜市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車製造業（二輪自動車を含む）,"28,025 人",（記載なし）,（記載なし）,日産自動車株式会社　本牧専用埠頭,輸送用機械器具製造業,神奈川県横浜市,"3,597 tCO2",3597,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985612708&office=日産自動車株式会社　本牧専用埠頭,日産自動車株式会社,日産自動車株式会社　本牧専用埠頭,神奈川県,985612708,製造業 輸送用機械器具製造業 管理，補助的経済活動を行う事業所（31輸送用機械器具製造業） その他の管理，補助的経済活動を行う事業所
