事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
東レ株式会社,5010001034867,985546003,東京都中央区,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,"6,992 人",（記載なし）,（記載なし）,東レ株式会社　愛媛工場,繊維工業,愛媛県松前町,"593,949 tCO2",593949,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985546003&office=東レ株式会社　愛媛工場,東レ株式会社,東レ株式会社　愛媛工場,愛媛県,985546003,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業
東レ株式会社,5010001034867,985546003,東京都中央区,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,"6,992 人",（記載なし）,（記載なし）,東レ株式会社　東海工場,化学工業,愛知県東海市,"511,846 tCO2",511846,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985546003&office=東レ株式会社　東海工場,東レ株式会社,東レ株式会社　東海工場,愛知県,985546003,製造業 化学工業 有機化学工業製品製造業 環式中間物・合成染料・有機顔料製造業
東レ株式会社,5010001034867,985546003,東京都中央区,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,"6,992 人",（記載なし）,（記載なし）,東レ株式会社　三島工場,繊維工業,静岡県三島市,"91,900 tCO2",91900,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985546003&office=東レ株式会社　三島工場,東レ株式会社,東レ株式会社　三島工場,静岡県,985546003,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業
東レ株式会社,5010001034867,985546003,東京都中央区,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,"6,992 人",（記載なし）,（記載なし）,名古屋事業場,繊維工業,愛知県名古屋市,"72,321 tCO2",72321,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985546003&office=名古屋事業場,東レ株式会社,名古屋事業場,愛知県,985546003,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業
東レ株式会社,5010001034867,985546003,東京都中央区,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,"6,992 人",（記載なし）,（記載なし）,東レ株式会社　岡崎工場,繊維工業,愛知県岡崎市,"69,916 tCO2",69916,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985546003&office=東レ株式会社　岡崎工場,東レ株式会社,東レ株式会社　岡崎工場,愛知県,985546003,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業
東レ株式会社,5010001034867,985546003,東京都中央区,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,"6,992 人",（記載なし）,（記載なし）,東レ株式会社　滋賀事業場,繊維工業,滋賀県大津市,"66,170 tCO2",66170,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985546003&office=東レ株式会社　滋賀事業場,東レ株式会社,東レ株式会社　滋賀事業場,滋賀県,985546003,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業
東レ株式会社,5010001034867,985546003,東京都中央区,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,"6,992 人",（記載なし）,（記載なし）,東レ株式会社岐阜工場,プラスチック製品製造業（別掲を除く）,岐阜県神戸町,"60,136 tCO2",60136,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985546003&office=東レ株式会社岐阜工場,東レ株式会社,東レ株式会社岐阜工場,岐阜県,985546003,製造業 プラスチック製品製造業（別掲を除く） プラスチックフィルム・シート・床材・合成皮革製造業 プラスチックフィルム製造業
東レ株式会社,5010001034867,985546003,東京都中央区,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,"6,992 人",（記載なし）,（記載なし）,東レ株式会社　石川工場,繊維工業,石川県能美市,"41,371 tCO2",41371,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985546003&office=東レ株式会社　石川工場,東レ株式会社,東レ株式会社　石川工場,石川県,985546003,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業
東レ株式会社,5010001034867,985546003,東京都中央区,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,"6,992 人",（記載なし）,（記載なし）,東レ（株）千葉工場,化学工業,千葉県市原市,"23,849 tCO2",23849,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985546003&office=東レ（株）千葉工場,東レ株式会社,東レ（株）千葉工場,千葉県,985546003,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業
東レ株式会社,5010001034867,985546003,東京都中央区,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,"6,992 人",（記載なし）,（記載なし）,東レ株式会社　土浦工場,プラスチック製品製造業（別掲を除く）,茨城県土浦市,"21,407 tCO2",21407,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985546003&office=東レ株式会社　土浦工場,東レ株式会社,東レ株式会社　土浦工場,茨城県,985546003,製造業 プラスチック製品製造業（別掲を除く） プラスチックフィルム・シート・床材・合成皮革製造業 プラスチックフィルム製造業
東レ株式会社,5010001034867,985546003,東京都中央区,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,"6,992 人",（記載なし）,（記載なし）,東レ株式会社　愛知工場,繊維工業,愛知県名古屋市,"16,344 tCO2",16344,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985546003&office=東レ株式会社　愛知工場,東レ株式会社,東レ株式会社　愛知工場,愛知県,985546003,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業
東レ株式会社,5010001034867,985546003,東京都中央区,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,"6,992 人",（記載なし）,（記載なし）,東レ株式会社　那須工場,プラスチック製品製造業（別掲を除く）,栃木県那須塩原市,"14,124 tCO2",14124,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985546003&office=東レ株式会社　那須工場,東レ株式会社,東レ株式会社　那須工場,栃木県,985546003,製造業 プラスチック製品製造業（別掲を除く） プラスチックフィルム・シート・床材・合成皮革製造業 プラスチックフィルム製造業
東レ株式会社,5010001034867,985546003,東京都中央区,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,"6,992 人",（記載なし）,（記載なし）,東レ株式会社　基礎研究センター,化学工業,神奈川県鎌倉市,"5,811 tCO2",5811,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985546003&office=東レ株式会社　基礎研究センター,東レ株式会社,東レ株式会社　基礎研究センター,神奈川県,985546003,製造業 化学工業 医薬品製造業 医薬品原薬製造業
東レ株式会社,5010001034867,985546003,東京都中央区,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,"6,992 人",（記載なし）,（記載なし）,東レ株式会社　瀬田工場,業務用機械器具製造業,滋賀県大津市,"1,776 tCO2",1776,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985546003&office=東レ株式会社　瀬田工場,東レ株式会社,東レ株式会社　瀬田工場,滋賀県,985546003,製造業 業務用機械器具製造業 医療用機械器具・医療用品製造業 医療用機械器具製造業
