事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,砂町水再生センター,水道業,東京都江東区,"96,588 tCO2",96588,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=砂町水再生センター,東京都下水道局,砂町水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,南部スラッジプラント,水道業,東京都大田区,"81,082 tCO2",81082,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=南部スラッジプラント,東京都下水道局,南部スラッジプラント,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,森ヶ崎水再生センター,水道業,東京都大田区,"61,845 tCO2",61845,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=森ヶ崎水再生センター,東京都下水道局,森ヶ崎水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,新河岸水再生センター,水道業,東京都板橋区,"52,165 tCO2",52165,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=新河岸水再生センター,東京都下水道局,新河岸水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,芝浦水再生センター,水道業,東京都港区,"45,525 tCO2",45525,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=芝浦水再生センター,東京都下水道局,芝浦水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,東京都下水道局　葛西水再生センター,水道業,東京都江戸川区,"34,958 tCO2",34958,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=東京都下水道局　葛西水再生センター,東京都下水道局,東京都下水道局　葛西水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,葛西水再生センター,水道業,東京都江戸川区,"25,476 tCO2",25476,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=葛西水再生センター,東京都下水道局,葛西水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,東京都下水道局　三河島水再生センター,水道業,東京都荒川区,"24,197 tCO2",24197,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=東京都下水道局　三河島水再生センター,東京都下水道局,東京都下水道局　三河島水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,みやぎ水再生センター,水道業,東京都足立区,"22,035 tCO2",22035,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=みやぎ水再生センター,東京都下水道局,みやぎ水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,清瀬水再生センター,水道業,東京都清瀬市,"21,965 tCO2",21965,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=清瀬水再生センター,東京都下水道局,清瀬水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,多摩川上流水再生センター,水道業,東京都昭島市,"20,501 tCO2",20501,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=多摩川上流水再生センター,東京都下水道局,多摩川上流水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,八王子水再生センター,水道業,東京都八王子市,"19,525 tCO2",19525,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=八王子水再生センター,東京都下水道局,八王子水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,北多摩一号水再生センター,水道業,東京都府中市,"19,472 tCO2",19472,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=北多摩一号水再生センター,東京都下水道局,北多摩一号水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,落合水再生センター,水道業,東京都新宿区,"18,493 tCO2",18493,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=落合水再生センター,東京都下水道局,落合水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,東糀谷ポンプ所,水道業,東京都大田区,"15,570 tCO2",15570,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=東糀谷ポンプ所,東京都下水道局,東糀谷ポンプ所,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,東京都下水道局中川水再生センター,水道業,東京都足立区,"11,168 tCO2",11168,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=東京都下水道局中川水再生センター,東京都下水道局,東京都下水道局中川水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,浅川水再生センター,水道業,東京都日野市,"10,960 tCO2",10960,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=浅川水再生センター,東京都下水道局,浅川水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,東京都下水道局小菅水再生センター,水道業,東京都葛飾区,"10,896 tCO2",10896,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=東京都下水道局小菅水再生センター,東京都下水道局,東京都下水道局小菅水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,浮間水再生センター,水道業,東京都北区,"9,831 tCO2",9831,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=浮間水再生センター,東京都下水道局,浮間水再生センター,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
東京都下水道局,8000020130001,991300303,東京都新宿区,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業,"2,779 人",（記載なし）,（記載なし）,芝浦ポンプ所,水道業,東京都港区,"9,193 tCO2",9193,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300303&office=芝浦ポンプ所,東京都下水道局,芝浦ポンプ所,東京都,991300303,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
