事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　朝霞浄水場,水道業,埼玉県朝霞市,"83,531 tCO2",83531,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　朝霞浄水場,東京都水道局,東京都水道局　朝霞浄水場,埼玉県,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　三郷浄水場,水道業,埼玉県三郷市,"51,783 tCO2",51783,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　三郷浄水場,東京都水道局,東京都水道局　三郷浄水場,埼玉県,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　金町浄水場,水道業,東京都葛飾区,"40,480 tCO2",40480,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　金町浄水場,東京都水道局,東京都水道局　金町浄水場,東京都,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　練馬給水所,水道業,東京都練馬区,"17,351 tCO2",17351,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　練馬給水所,東京都水道局,東京都水道局　練馬給水所,東京都,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　東村山浄水場,水道業,東京都東村山市,"17,143 tCO2",17143,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　東村山浄水場,東京都水道局,東京都水道局　東村山浄水場,東京都,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　上井草給水所,水道業,東京都杉並区,"10,482 tCO2",10482,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　上井草給水所,東京都水道局,東京都水道局　上井草給水所,東京都,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　三園浄水場,水道業,東京都板橋区,"9,593 tCO2",9593,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　三園浄水場,東京都水道局,東京都水道局　三園浄水場,東京都,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　本郷給水所,水道業,東京都文京区,"5,878 tCO2",5878,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　本郷給水所,東京都水道局,東京都水道局　本郷給水所,東京都,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　淀橋給水所,水道業,東京都新宿区,"5,608 tCO2",5608,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　淀橋給水所,東京都水道局,東京都水道局　淀橋給水所,東京都,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　羽村導水ポンプ所,水道業,東京都羽村市,"5,388 tCO2",5388,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　羽村導水ポンプ所,東京都水道局,東京都水道局　羽村導水ポンプ所,東京都,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　日野増圧ポンプ所,水道業,東京都日野市,"5,203 tCO2",5203,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　日野増圧ポンプ所,東京都水道局,東京都水道局　日野増圧ポンプ所,東京都,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　拝島給水所,水道業,東京都昭島市,"4,783 tCO2",4783,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　拝島給水所,東京都水道局,東京都水道局　拝島給水所,東京都,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　八坂給水所,水道業,東京都東村山市,"4,726 tCO2",4726,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　八坂給水所,東京都水道局,東京都水道局　八坂給水所,東京都,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　稲城ポンプ所,水道業,東京都稲城市,"4,531 tCO2",4531,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　稲城ポンプ所,東京都水道局,東京都水道局　稲城ポンプ所,東京都,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　第一板橋給水所,水道業,東京都板橋区,"4,183 tCO2",4183,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　第一板橋給水所,東京都水道局,東京都水道局　第一板橋給水所,東京都,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　南千住給水所,水道業,東京都荒川区,"3,815 tCO2",3815,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　南千住給水所,東京都水道局,東京都水道局　南千住給水所,東京都,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
東京都水道局,8000020130001,991300205,東京都新宿区,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業,"4,000 人",（記載なし）,（記載なし）,東京都水道局　砧浄水場,水道業,東京都世田谷区,"3,141 tCO2",3141,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=991300205&office=東京都水道局　砧浄水場,東京都水道局,東京都水道局　砧浄水場,東京都,991300205,電気・ガス・熱供給・水道業 水道業 上水道業 上水道業
