事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業,推移_合計_千tCO2_2022
株式会社JERA,6010001167617,682015302,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"5,062 人",（記載なし）,（記載なし）,碧南火力発電所,電気業,愛知県碧南市,"1,117,745 tCO2",1117745,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=682015302&office=碧南火力発電所,株式会社JERA,碧南火力発電所,愛知県,682015302,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
株式会社JERA,6010001167617,682015302,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"5,062 人",（記載なし）,（記載なし）,常陸那珂火力発電所,電気業,茨城県東海村,"542,748 tCO2",542748,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=682015302&office=常陸那珂火力発電所,株式会社JERA,常陸那珂火力発電所,茨城県,682015302,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
株式会社JERA,6010001167617,682015302,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"5,062 人",（記載なし）,（記載なし）,広野火力発電所,電気業,福島県広野町,"386,444 tCO2",386444,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=682015302&office=広野火力発電所,株式会社JERA,広野火力発電所,福島県,682015302,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
株式会社JERA,6010001167617,682015302,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"5,062 人",（記載なし）,（記載なし）,富津火力発電所,電気業,千葉県富津市,"351,219 tCO2",351219,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=682015302&office=富津火力発電所,株式会社JERA,富津火力発電所,千葉県,682015302,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
株式会社JERA,6010001167617,682015302,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"5,062 人",（記載なし）,（記載なし）,川越火力発電所,電気業,三重県川越町,"282,288 tCO2",282288,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=682015302&office=川越火力発電所,株式会社JERA,川越火力発電所,三重県,682015302,電気・ガス・熱供給・水道業 電気業 電気業 発電業,682015302.0
株式会社JERA,6010001167617,682015302,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"5,062 人",（記載なし）,（記載なし）,川崎火力発電所,電気業,神奈川県川崎市,"244,815 tCO2",244815,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=682015302&office=川崎火力発電所,株式会社JERA,川崎火力発電所,神奈川県,682015302,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
株式会社JERA,6010001167617,682015302,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"5,062 人",（記載なし）,（記載なし）,東扇島火力発電所,電気業,神奈川県川崎市,"223,901 tCO2",223901,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=682015302&office=東扇島火力発電所,株式会社JERA,東扇島火力発電所,神奈川県,682015302,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
株式会社JERA,6010001167617,682015302,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"5,062 人",（記載なし）,（記載なし）,千葉火力発電所,電気業,千葉県千葉市,"206,419 tCO2",206419,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=682015302&office=千葉火力発電所,株式会社JERA,千葉火力発電所,千葉県,682015302,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
株式会社JERA,6010001167617,682015302,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"5,062 人",（記載なし）,（記載なし）,横浜火力発電所,電気業,神奈川県横浜市,"139,991 tCO2",139991,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=682015302&office=横浜火力発電所,株式会社JERA,横浜火力発電所,神奈川県,682015302,電気・ガス・熱供給・水道業 電気業 電気業 発電業,682015302.0
株式会社JERA,6010001167617,682015302,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"5,062 人",（記載なし）,（記載なし）,新名古屋火力発電所,電気業,愛知県名古屋市,"121,454 tCO2",121454,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=682015302&office=新名古屋火力発電所,株式会社JERA,新名古屋火力発電所,愛知県,682015302,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
