事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
株式会社デンソー,9180301014251,400108408,愛知県刈谷市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業,"46,272 人",（記載なし）,（記載なし）,株式会社デンソー　西尾製作所,輸送用機械器具製造業,愛知県西尾市,"157,842 tCO2",157842,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=400108408&office=株式会社デンソー　西尾製作所,株式会社デンソー,株式会社デンソー　西尾製作所,愛知県,400108408,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業
株式会社デンソー,9180301014251,400108408,愛知県刈谷市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業,"46,272 人",（記載なし）,（記載なし）,株式会社デンソー　幸田製作所,輸送用機械器具製造業,愛知県幸田町,"132,430 tCO2",132430,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=400108408&office=株式会社デンソー　幸田製作所,株式会社デンソー,株式会社デンソー　幸田製作所,愛知県,400108408,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業
株式会社デンソー,9180301014251,400108408,愛知県刈谷市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業,"46,272 人",（記載なし）,（記載なし）,株式会社　デンソー大安製作所,輸送用機械器具製造業,三重県いなべ市,"105,711 tCO2",105711,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=400108408&office=株式会社　デンソー大安製作所,株式会社デンソー,株式会社　デンソー大安製作所,三重県,400108408,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業
株式会社デンソー,9180301014251,400108408,愛知県刈谷市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業,"46,272 人",（記載なし）,（記載なし）,株式会社デンソー　本社工場,輸送用機械器具製造業,愛知県刈谷市,"83,340 tCO2",83340,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=400108408&office=株式会社デンソー　本社工場,株式会社デンソー,株式会社デンソー　本社工場,愛知県,400108408,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業
株式会社デンソー,9180301014251,400108408,愛知県刈谷市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業,"46,272 人",（記載なし）,（記載なし）,株式会社デンソー　安城製作所,電気機械器具製造業,愛知県安城市,"71,581 tCO2",71581,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=400108408&office=株式会社デンソー　安城製作所,株式会社デンソー,株式会社デンソー　安城製作所,愛知県,400108408,製造業 電気機械器具製造業 産業用電気機械器具製造業 内燃機関電装品製造業
株式会社デンソー,9180301014251,400108408,愛知県刈谷市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業,"46,272 人",（記載なし）,（記載なし）,株式会社デンソー　湖西製作所,輸送用機械器具製造業,静岡県湖西市,"49,564 tCO2",49564,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=400108408&office=株式会社デンソー　湖西製作所,株式会社デンソー,株式会社デンソー　湖西製作所,静岡県,400108408,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業
株式会社デンソー,9180301014251,400108408,愛知県刈谷市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業,"46,272 人",（記載なし）,（記載なし）,株式会社デンソー　高棚製作所,輸送用機械器具製造業,愛知県安城市,"40,657 tCO2",40657,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=400108408&office=株式会社デンソー　高棚製作所,株式会社デンソー,株式会社デンソー　高棚製作所,愛知県,400108408,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業
株式会社デンソー,9180301014251,400108408,愛知県刈谷市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業,"46,272 人",（記載なし）,（記載なし）,株式会社デンソー 広瀬製作所,輸送用機械器具製造業,愛知県豊田市,"39,207 tCO2",39207,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=400108408&office=株式会社デンソー 広瀬製作所,株式会社デンソー,株式会社デンソー 広瀬製作所,愛知県,400108408,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業
株式会社デンソー,9180301014251,400108408,愛知県刈谷市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業,"46,272 人",（記載なし）,（記載なし）,株式会社デンソー　善明製作所,輸送用機械器具製造業,愛知県西尾市,"36,582 tCO2",36582,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=400108408&office=株式会社デンソー　善明製作所,株式会社デンソー,株式会社デンソー　善明製作所,愛知県,400108408,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業
株式会社デンソー,9180301014251,400108408,愛知県刈谷市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業,"46,272 人",（記載なし）,（記載なし）,株式会社デンソー　豊橋製作所,輸送用機械器具製造業,愛知県豊橋市,"21,482 tCO2",21482,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=400108408&office=株式会社デンソー　豊橋製作所,株式会社デンソー,株式会社デンソー　豊橋製作所,愛知県,400108408,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業
