事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
株式会社プロテリアル,3010401038783,985710601,東京都江東区,製造業 鉄鋼業 製鋼・製鋼圧延業 製鋼・製鋼圧延業,（記載なし）,（記載なし）,（記載なし）,安来工場,鉄鋼業,島根県安来市,"238,427 tCO2",238427,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710601&office=安来工場,株式会社プロテリアル,安来工場,島根県,985710601,製造業 鉄鋼業 製鋼・製鋼圧延業 製鋼・製鋼圧延業
株式会社プロテリアル,3010401038783,985710601,東京都江東区,製造業 鉄鋼業 製鋼・製鋼圧延業 製鋼・製鋼圧延業,（記載なし）,（記載なし）,（記載なし）,真岡工場,輸送用機械器具製造業,栃木県真岡市,"51,090 tCO2",51090,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710601&office=真岡工場,株式会社プロテリアル,真岡工場,栃木県,985710601,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業
株式会社プロテリアル,3010401038783,985710601,東京都江東区,製造業 鉄鋼業 製鋼・製鋼圧延業 製鋼・製鋼圧延業,（記載なし）,（記載なし）,（記載なし）,熊谷磁材工場,電気機械器具製造業,埼玉県熊谷市,"44,930 tCO2",44930,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710601&office=熊谷磁材工場,株式会社プロテリアル,熊谷磁材工場,埼玉県,985710601,製造業 電気機械器具製造業 その他の電気機械器具製造業 その他の電気機械器具製造業
株式会社プロテリアル,3010401038783,985710601,東京都江東区,製造業 鉄鋼業 製鋼・製鋼圧延業 製鋼・製鋼圧延業,（記載なし）,（記載なし）,（記載なし）,茨城工場（豊浦）,非鉄金属製造業,茨城県日立市,"39,105 tCO2",39105,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710601&office=茨城工場（豊浦）,株式会社プロテリアル,茨城工場（豊浦）,茨城県,985710601,製造業 非鉄金属製造業 電線・ケーブル製造業 電線・ケーブル製造業（光ファイバケーブルを除く）
株式会社プロテリアル,3010401038783,985710601,東京都江東区,製造業 鉄鋼業 製鋼・製鋼圧延業 製鋼・製鋼圧延業,（記載なし）,（記載なし）,（記載なし）,桶川工場,非鉄金属製造業,埼玉県桶川市,"31,055 tCO2",31055,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710601&office=桶川工場,株式会社プロテリアル,桶川工場,埼玉県,985710601,製造業 非鉄金属製造業 非鉄金属・同合金圧延業（抽伸，押出しを含む） その他の非鉄金属・同合金圧延業（抽伸，押出しを含む）
株式会社プロテリアル,3010401038783,985710601,東京都江東区,製造業 鉄鋼業 製鋼・製鋼圧延業 製鋼・製鋼圧延業,（記載なし）,（記載なし）,（記載なし）,桑名工場,鉄鋼業,三重県桑名市,"29,779 tCO2",29779,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710601&office=桑名工場,株式会社プロテリアル,桑名工場,三重県,985710601,製造業 鉄鋼業 鉄素形材製造業 可鍛鋳鉄製造業
株式会社プロテリアル,3010401038783,985710601,東京都江東区,製造業 鉄鋼業 製鋼・製鋼圧延業 製鋼・製鋼圧延業,（記載なし）,（記載なし）,（記載なし）,メトグラス安来工場,鉄鋼業,島根県安来市,"14,535 tCO2",14535,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710601&office=メトグラス安来工場,株式会社プロテリアル,メトグラス安来工場,島根県,985710601,製造業 鉄鋼業 製鋼・製鋼圧延業 製鋼・製鋼圧延業
株式会社プロテリアル,3010401038783,985710601,東京都江東区,製造業 鉄鋼業 製鋼・製鋼圧延業 製鋼・製鋼圧延業,（記載なし）,（記載なし）,（記載なし）,茨城工場(日高）,非鉄金属製造業,茨城県日立市,"10,657 tCO2",10657,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710601&office=茨城工場(日高）,株式会社プロテリアル,茨城工場(日高）,茨城県,985710601,製造業 非鉄金属製造業 電線・ケーブル製造業 電線・ケーブル製造業（光ファイバケーブルを除く）
株式会社プロテリアル,3010401038783,985710601,東京都江東区,製造業 鉄鋼業 製鋼・製鋼圧延業 製鋼・製鋼圧延業,（記載なし）,（記載なし）,（記載なし）,茨城工場,非鉄金属製造業,茨城県日立市,"9,810 tCO2",9810,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710601&office=茨城工場,株式会社プロテリアル,茨城工場,茨城県,985710601,製造業 非鉄金属製造業 電線・ケーブル製造業 電線・ケーブル製造業（光ファイバケーブルを除く）
株式会社プロテリアル,3010401038783,985710601,東京都江東区,製造業 鉄鋼業 製鋼・製鋼圧延業 製鋼・製鋼圧延業,（記載なし）,（記載なし）,（記載なし）,山崎工場,電気機械器具製造業,大阪府島本町,"4,777 tCO2",4777,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710601&office=山崎工場,株式会社プロテリアル,山崎工場,大阪府,985710601,製造業 電気機械器具製造業 その他の電気機械器具製造業 その他の電気機械器具製造業
