事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
株式会社レゾナック,3011101018084,985710306,東京都港区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"8,570 人",（記載なし）,（記載なし）,株式会社レゾナック　大分コンビナート,化学工業,大分県大分市,"1,116,075 tCO2",1116075,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710306&office=株式会社レゾナック　大分コンビナート,株式会社レゾナック,株式会社レゾナック　大分コンビナート,大分県,985710306,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）
株式会社レゾナック,3011101018084,985710306,東京都港区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"8,570 人",（記載なし）,（記載なし）,株式会社レゾナック　川崎事業所(扇町・大川),化学工業,神奈川県川崎市,"794,518 tCO2",794518,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710306&office=株式会社レゾナック　川崎事業所(扇町・大川),株式会社レゾナック,株式会社レゾナック　川崎事業所(扇町・大川),神奈川県,985710306,製造業 化学工業 無機化学工業製品製造業 ソーダ工業
株式会社レゾナック,3011101018084,985710306,東京都港区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"8,570 人",（記載なし）,（記載なし）,株式会社レゾナック　川崎事業所(千鳥),化学工業,神奈川県川崎市,"43,932 tCO2",43932,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710306&office=株式会社レゾナック　川崎事業所(千鳥),株式会社レゾナック,株式会社レゾナック　川崎事業所(千鳥),神奈川県,985710306,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）
株式会社レゾナック,3011101018084,985710306,東京都港区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"8,570 人",（記載なし）,（記載なし）,株式会社レゾナック　秩父事業所,非鉄金属製造業,埼玉県秩父市,"29,931 tCO2",29931,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710306&office=株式会社レゾナック　秩父事業所,株式会社レゾナック,株式会社レゾナック　秩父事業所,埼玉県,985710306,製造業 非鉄金属製造業 非鉄金属第2次製錬・精製業（非鉄金属合金製造業を含む） その他の非鉄金属第2次製錬・精製業（非鉄金属合金製造業を含む）
株式会社レゾナック,3011101018084,985710306,東京都港区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"8,570 人",（記載なし）,（記載なし）,株式会社レゾナック　下館事業所(下館),プラスチック製品製造業（別掲を除く）,茨城県筑西市,"28,599 tCO2",28599,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710306&office=株式会社レゾナック　下館事業所(下館),株式会社レゾナック,株式会社レゾナック　下館事業所(下館),茨城県,985710306,製造業 プラスチック製品製造業（別掲を除く） その他のプラスチック製品製造業 他に分類されないプラスチック製品製造業
株式会社レゾナック,3011101018084,985710306,東京都港区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"8,570 人",（記載なし）,（記載なし）,株式会社レゾナック　小山事業所(小山),非鉄金属製造業,栃木県小山市,"23,381 tCO2",23381,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710306&office=株式会社レゾナック　小山事業所(小山),株式会社レゾナック,株式会社レゾナック　小山事業所(小山),栃木県,985710306,製造業 非鉄金属製造業 非鉄金属・同合金圧延業（抽伸，押出しを含む） アルミニウム・同合金圧延業（抽伸，押出しを含む）
株式会社レゾナック,3011101018084,985710306,東京都港区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"8,570 人",（記載なし）,（記載なし）,株式会社レゾナック　喜多方事業所,非鉄金属製造業,福島県喜多方市,"23,188 tCO2",23188,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710306&office=株式会社レゾナック　喜多方事業所,株式会社レゾナック,株式会社レゾナック　喜多方事業所,福島県,985710306,製造業 非鉄金属製造業 非鉄金属・同合金圧延業（抽伸，押出しを含む） アルミニウム・同合金圧延業（抽伸，押出しを含む）
株式会社レゾナック,3011101018084,985710306,東京都港区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"8,570 人",（記載なし）,（記載なし）,株式会社レゾナック　塩尻事業所,窯業・土石製品製造業,長野県塩尻市,"20,009 tCO2",20009,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710306&office=株式会社レゾナック　塩尻事業所,株式会社レゾナック,株式会社レゾナック　塩尻事業所,長野県,985710306,製造業 窯業・土石製品製造業 研磨材・同製品製造業 研磨材製造業
株式会社レゾナック,3011101018084,985710306,東京都港区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"8,570 人",（記載なし）,（記載なし）,株式会社レゾナック　松戸事業所(松戸),金属製品製造業,千葉県松戸市,"17,975 tCO2",17975,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710306&office=株式会社レゾナック　松戸事業所(松戸),株式会社レゾナック,株式会社レゾナック　松戸事業所(松戸),千葉県,985710306,製造業 金属製品製造業 金属素形材製品製造業 粉末や金製品製造業
株式会社レゾナック,3011101018084,985710306,東京都港区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"8,570 人",（記載なし）,（記載なし）,株式会社レゾナック　徳山事業所,化学工業,山口県周南市,"17,658 tCO2",17658,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985710306&office=株式会社レゾナック　徳山事業所,株式会社レゾナック,株式会社レゾナック　徳山事業所,山口県,985710306,製造業 化学工業 有機化学工業製品製造業 その他の有機化学工業製品製造業
