事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
株式会社神戸製鋼所,6140001005714,530000266,兵庫県神戸市,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"11,296 人",（記載なし）,（記載なし）,鉄鋼アルミ事業部門　加古川製鉄所,鉄鋼業,兵庫県加古川市,"13,187,872 tCO2",13187872,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=530000266&office=鉄鋼アルミ事業部門　加古川製鉄所,株式会社神戸製鋼所,鉄鋼アルミ事業部門　加古川製鉄所,兵庫県,530000266,製造業 鉄鋼業 製鉄業 高炉による製鉄業
株式会社神戸製鋼所,6140001005714,530000266,兵庫県神戸市,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"11,296 人",（記載なし）,（記載なし）,鉄鋼アルミ事業部門　真岡製造所,非鉄金属製造業,栃木県真岡市,"260,110 tCO2",260110,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=530000266&office=鉄鋼アルミ事業部門　真岡製造所,株式会社神戸製鋼所,鉄鋼アルミ事業部門　真岡製造所,栃木県,530000266,製造業 非鉄金属製造業 非鉄金属・同合金圧延業（抽伸，押出しを含む） アルミニウム・同合金圧延業（抽伸，押出しを含む）
株式会社神戸製鋼所,6140001005714,530000266,兵庫県神戸市,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"11,296 人",（記載なし）,（記載なし）,高砂製作所,鉄鋼業,兵庫県高砂市,"229,296 tCO2",229296,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=530000266&office=高砂製作所,株式会社神戸製鋼所,高砂製作所,兵庫県,530000266,製造業 鉄鋼業 鉄素形材製造業 鍛鋼製造業
株式会社神戸製鋼所,6140001005714,530000266,兵庫県神戸市,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"11,296 人",（記載なし）,（記載なし）,鉄鋼アルミ事業部門　神戸線条工場,鉄鋼業,兵庫県神戸市,"176,854 tCO2",176854,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=530000266&office=鉄鋼アルミ事業部門　神戸線条工場,株式会社神戸製鋼所,鉄鋼アルミ事業部門　神戸線条工場,兵庫県,530000266,製造業 鉄鋼業 製鋼を行わない鋼材製造業（表面処理鋼材を除く） 熱間圧延業（鋼管，伸鉄を除く）
株式会社神戸製鋼所,6140001005714,530000266,兵庫県神戸市,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"11,296 人",（記載なし）,（記載なし）,素形材事業部門　長府製造所,非鉄金属製造業,山口県下関市,"122,808 tCO2",122808,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=530000266&office=素形材事業部門　長府製造所,株式会社神戸製鋼所,素形材事業部門　長府製造所,山口県,530000266,製造業 非鉄金属製造業 非鉄金属・同合金圧延業（抽伸，押出しを含む） 伸銅品製造業
株式会社神戸製鋼所,6140001005714,530000266,兵庫県神戸市,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"11,296 人",（記載なし）,（記載なし）,素形材事業部門　大安製造所,非鉄金属製造業,三重県いなべ市,"63,155 tCO2",63155,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=530000266&office=素形材事業部門　大安製造所,株式会社神戸製鋼所,素形材事業部門　大安製造所,三重県,530000266,製造業 非鉄金属製造業 非鉄金属素形材製造業 非鉄金属鍛造品製造業
株式会社神戸製鋼所,6140001005714,530000266,兵庫県神戸市,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"11,296 人",（記載なし）,（記載なし）,溶接事業部門　生産センター　福知山工場,金属製品製造業,京都府福知山市,"15,777 tCO2",15777,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=530000266&office=溶接事業部門　生産センター　福知山工場,株式会社神戸製鋼所,溶接事業部門　生産センター　福知山工場,京都府,530000266,製造業 金属製品製造業 金属線製品製造業（ねじ類を除く) その他の金属線製品製造業
株式会社神戸製鋼所,6140001005714,530000266,兵庫県神戸市,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"11,296 人",（記載なし）,（記載なし）,溶接事業部門　生産センター　茨木工場,金属製品製造業,大阪府茨木市,"7,637 tCO2",7637,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=530000266&office=溶接事業部門　生産センター　茨木工場,株式会社神戸製鋼所,溶接事業部門　生産センター　茨木工場,大阪府,530000266,製造業 金属製品製造業 金属線製品製造業（ねじ類を除く) その他の金属線製品製造業
株式会社神戸製鋼所,6140001005714,530000266,兵庫県神戸市,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"11,296 人",（記載なし）,（記載なし）,技術開発本部　神戸総合技術研究所,鉄鋼業,兵庫県神戸市,"5,879 tCO2",5879,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=530000266&office=技術開発本部　神戸総合技術研究所,株式会社神戸製鋼所,技術開発本部　神戸総合技術研究所,兵庫県,530000266,製造業 鉄鋼業 管理，補助的経済活動を行う事業所（22鉄鋼業） 主として管理事務を行う本社等
株式会社神戸製鋼所,6140001005714,530000266,兵庫県神戸市,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"11,296 人",（記載なし）,（記載なし）,溶接事業部門　生産センター　西条工場,金属製品製造業,広島県東広島市,"3,821 tCO2",3821,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=530000266&office=溶接事業部門　生産センター　西条工場,株式会社神戸製鋼所,溶接事業部門　生産センター　西条工場,広島県,530000266,製造業 金属製品製造業 金属線製品製造業（ねじ類を除く) その他の金属線製品製造業
株式会社神戸製鋼所,6140001005714,530000266,兵庫県神戸市,製造業 鉄鋼業 製鉄業 高炉による製鉄業,"11,296 人",（記載なし）,（記載なし）,溶接事業部門　生産センター　藤沢工場,金属製品製造業,神奈川県藤沢市,"2,181 tCO2",2181,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=530000266&office=溶接事業部門　生産センター　藤沢工場,株式会社神戸製鋼所,溶接事業部門　生産センター　藤沢工場,神奈川県,530000266,製造業 金属製品製造業 金属線製品製造業（ねじ類を除く) その他の金属線製品製造業
