事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
独立行政法人国立病院機構,1013205001281,990013015,東京都目黒区,医療，福祉 医療業 病院 一般病院,（記載なし）,（記載なし）,（記載なし）,独立行政法人国立病院機構　呉医療センター,医療業,広島県呉市,"12,730 tCO2",12730,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990013015&office=独立行政法人国立病院機構　呉医療センター,独立行政法人国立病院機構,独立行政法人国立病院機構　呉医療センター,広島県,990013015,医療，福祉 医療業 病院 一般病院
独立行政法人国立病院機構,1013205001281,990013015,東京都目黒区,医療，福祉 医療業 病院 一般病院,（記載なし）,（記載なし）,（記載なし）,独立行政法人国立病院機構　岡山医療センター,医療業,岡山県岡山市,"10,599 tCO2",10599,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990013015&office=独立行政法人国立病院機構　岡山医療センター,独立行政法人国立病院機構,独立行政法人国立病院機構　岡山医療センター,岡山県,990013015,医療，福祉 医療業 病院 一般病院
独立行政法人国立病院機構,1013205001281,990013015,東京都目黒区,医療，福祉 医療業 病院 一般病院,（記載なし）,（記載なし）,（記載なし）,独立行政法人国立病院機構　東京医療センター,医療業,東京都目黒区,"8,705 tCO2",8705,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990013015&office=独立行政法人国立病院機構　東京医療センター,独立行政法人国立病院機構,独立行政法人国立病院機構　東京医療センター,東京都,990013015,医療，福祉 医療業 病院 一般病院
独立行政法人国立病院機構,1013205001281,990013015,東京都目黒区,医療，福祉 医療業 病院 一般病院,（記載なし）,（記載なし）,（記載なし）,独立行政法人国立病院機構　大阪医療センター,医療業,大阪府大阪市,"8,502 tCO2",8502,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990013015&office=独立行政法人国立病院機構　大阪医療センター,独立行政法人国立病院機構,独立行政法人国立病院機構　大阪医療センター,大阪府,990013015,医療，福祉 医療業 病院 一般病院
独立行政法人国立病院機構,1013205001281,990013015,東京都目黒区,医療，福祉 医療業 病院 一般病院,（記載なし）,（記載なし）,（記載なし）,独立行政法人国立病院機構　水戸医療センター,医療業,茨城県茨城町,"7,329 tCO2",7329,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990013015&office=独立行政法人国立病院機構　水戸医療センター,独立行政法人国立病院機構,独立行政法人国立病院機構　水戸医療センター,茨城県,990013015,医療，福祉 医療業 病院 一般病院
独立行政法人国立病院機構,1013205001281,990013015,東京都目黒区,医療，福祉 医療業 病院 一般病院,（記載なし）,（記載なし）,（記載なし）,独立行政法人国立病院機構　長崎医療センター,医療業,長崎県大村市,"7,310 tCO2",7310,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990013015&office=独立行政法人国立病院機構　長崎医療センター,独立行政法人国立病院機構,独立行政法人国立病院機構　長崎医療センター,長崎県,990013015,医療，福祉 医療業 病院 一般病院
独立行政法人国立病院機構,1013205001281,990013015,東京都目黒区,医療，福祉 医療業 病院 一般病院,（記載なし）,（記載なし）,（記載なし）,独立行政法人国立病院機構　仙台医療センター,医療業,宮城県仙台市,"7,130 tCO2",7130,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990013015&office=独立行政法人国立病院機構　仙台医療センター,独立行政法人国立病院機構,独立行政法人国立病院機構　仙台医療センター,宮城県,990013015,医療，福祉 医療業 病院 一般病院
独立行政法人国立病院機構,1013205001281,990013015,東京都目黒区,医療，福祉 医療業 病院 一般病院,（記載なし）,（記載なし）,（記載なし）,独立行政法人国立病院機構　名古屋医療センター,医療業,愛知県名古屋市,"6,920 tCO2",6920,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990013015&office=独立行政法人国立病院機構　名古屋医療センター,独立行政法人国立病院機構,独立行政法人国立病院機構　名古屋医療センター,愛知県,990013015,医療，福祉 医療業 病院 一般病院
独立行政法人国立病院機構,1013205001281,990013015,東京都目黒区,医療，福祉 医療業 病院 一般病院,（記載なし）,（記載なし）,（記載なし）,独立行政法人国立病院機構　四国こどもとおとなの医療センター,医療業,香川県善通寺市,"6,584 tCO2",6584,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990013015&office=独立行政法人国立病院機構　四国こどもとおとなの医療センター,独立行政法人国立病院機構,独立行政法人国立病院機構　四国こどもとおとなの医療センター,香川県,990013015,医療，福祉 医療業 病院 一般病院
独立行政法人国立病院機構,1013205001281,990013015,東京都目黒区,医療，福祉 医療業 病院 一般病院,（記載なし）,（記載なし）,（記載なし）,独立行政法人国立病院機構　埼玉病院,医療業,埼玉県和光市,"5,937 tCO2",5937,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990013015&office=独立行政法人国立病院機構　埼玉病院,独立行政法人国立病院機構,独立行政法人国立病院機構　埼玉病院,埼玉県,990013015,医療，福祉 医療業 病院 一般病院
