事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
王子マテリア株式会社,1010001074355,986306852,東京都中央区,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"1,811 人",3861,（記載なし）,王子マテリア株式会社　釧路工場,パルプ・紙・紙加工品製造業,北海道釧路市,"998,471 tCO2",998471,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=986306852&office=王子マテリア株式会社　釧路工場,王子マテリア株式会社,王子マテリア株式会社　釧路工場,北海道,986306852,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業
王子マテリア株式会社,1010001074355,986306852,東京都中央区,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"1,811 人",3861,（記載なし）,王子マテリア株式会社　富士工場　第一工場,パルプ・紙・紙加工品製造業,静岡県富士市,"577,744 tCO2",577744,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=986306852&office=王子マテリア株式会社　富士工場　第一工場,王子マテリア株式会社,王子マテリア株式会社　富士工場　第一工場,静岡県,986306852,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業
王子マテリア株式会社,1010001074355,986306852,東京都中央区,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"1,811 人",3861,（記載なし）,王子マテリア株式会社　大分工場,パルプ・紙・紙加工品製造業,大分県大分市,"560,590 tCO2",560590,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=986306852&office=王子マテリア株式会社　大分工場,王子マテリア株式会社,王子マテリア株式会社　大分工場,大分県,986306852,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業
王子マテリア株式会社,1010001074355,986306852,東京都中央区,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"1,811 人",3861,（記載なし）,王子マテリア株式会社　佐賀工場,パルプ・紙・紙加工品製造業,佐賀県佐賀市,"420,517 tCO2",420517,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=986306852&office=王子マテリア株式会社　佐賀工場,王子マテリア株式会社,王子マテリア株式会社　佐賀工場,佐賀県,986306852,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業
王子マテリア株式会社,1010001074355,986306852,東京都中央区,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"1,811 人",3861,（記載なし）,王子マテリア株式会社　呉工場,パルプ・紙・紙加工品製造業,広島県呉市,"319,894 tCO2",319894,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=986306852&office=王子マテリア株式会社　呉工場,王子マテリア株式会社,王子マテリア株式会社　呉工場,広島県,986306852,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業
王子マテリア株式会社,1010001074355,986306852,東京都中央区,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"1,811 人",3861,（記載なし）,王子マテリア株式会社　祖父江工場,パルプ・紙・紙加工品製造業,愛知県稲沢市,"221,675 tCO2",221675,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=986306852&office=王子マテリア株式会社　祖父江工場,王子マテリア株式会社,王子マテリア株式会社　祖父江工場,愛知県,986306852,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業
王子マテリア株式会社,1010001074355,986306852,東京都中央区,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"1,811 人",3861,（記載なし）,王子マテリア株式会社　江戸川工場,パルプ・紙・紙加工品製造業,東京都江戸川区,"151,357 tCO2",151357,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=986306852&office=王子マテリア株式会社　江戸川工場,王子マテリア株式会社,王子マテリア株式会社　江戸川工場,東京都,986306852,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業
王子マテリア株式会社,1010001074355,986306852,東京都中央区,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"1,811 人",3861,（記載なし）,王子マテリア株式会社　日光工場,パルプ・紙・紙加工品製造業,栃木県宇都宮市,"148,232 tCO2",148232,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=986306852&office=王子マテリア株式会社　日光工場,王子マテリア株式会社,王子マテリア株式会社　日光工場,栃木県,986306852,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業
王子マテリア株式会社,1010001074355,986306852,東京都中央区,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"1,811 人",3861,（記載なし）,王子マテリア株式会社　恵那工場,パルプ・紙・紙加工品製造業,岐阜県恵那市,"81,708 tCO2",81708,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=986306852&office=王子マテリア株式会社　恵那工場,王子マテリア株式会社,王子マテリア株式会社　恵那工場,岐阜県,986306852,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業
王子マテリア株式会社,1010001074355,986306852,東京都中央区,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"1,811 人",3861,（記載なし）,王子マテリア株式会社　大阪工場,パルプ・紙・紙加工品製造業,大阪府大阪市,"67,754 tCO2",67754,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=986306852&office=王子マテリア株式会社　大阪工場,王子マテリア株式会社,王子マテリア株式会社　大阪工場,大阪府,986306852,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業
