事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
神戸市,9000020281000,996400007,兵庫県神戸市,公務（他に分類されるものを除く） 地方公務 市町村の機関 市町村の機関,"10,000 人",（記載なし）,（記載なし）,港島クリーンセンター,廃棄物処理業,兵庫県神戸市,"117,346 tCO2",117346,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=996400007&office=港島クリーンセンター,神戸市,港島クリーンセンター,兵庫県,996400007,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業
神戸市,9000020281000,996400007,兵庫県神戸市,公務（他に分類されるものを除く） 地方公務 市町村の機関 市町村の機関,"10,000 人",（記載なし）,（記載なし）,東クリーンセンター,廃棄物処理業,兵庫県神戸市,"110,285 tCO2",110285,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=996400007&office=東クリーンセンター,神戸市,東クリーンセンター,兵庫県,996400007,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業
神戸市,9000020281000,996400007,兵庫県神戸市,公務（他に分類されるものを除く） 地方公務 市町村の機関 市町村の機関,"10,000 人",（記載なし）,（記載なし）,西クリーンセンター,廃棄物処理業,兵庫県神戸市,"91,502 tCO2",91502,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=996400007&office=西クリーンセンター,神戸市,西クリーンセンター,兵庫県,996400007,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業
神戸市,9000020281000,996400007,兵庫県神戸市,公務（他に分類されるものを除く） 地方公務 市町村の機関 市町村の機関,"10,000 人",（記載なし）,（記載なし）,垂水処理場,水道業,兵庫県神戸市,"8,551 tCO2",8551,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=996400007&office=垂水処理場,神戸市,垂水処理場,兵庫県,996400007,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
神戸市,9000020281000,996400007,兵庫県神戸市,公務（他に分類されるものを除く） 地方公務 市町村の機関 市町村の機関,"10,000 人",（記載なし）,（記載なし）,東部スラッジセンター,水道業,兵庫県神戸市,"4,818 tCO2",4818,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=996400007&office=東部スラッジセンター,神戸市,東部スラッジセンター,兵庫県,996400007,電気・ガス・熱供給・水道業 水道業 管理，補助的経済活動を行う事業所（36水道業） その他の管理，補助的経済活動を行う事業所
神戸市,9000020281000,996400007,兵庫県神戸市,公務（他に分類されるものを除く） 地方公務 市町村の機関 市町村の機関,"10,000 人",（記載なし）,（記載なし）,西部処理場,水道業,兵庫県神戸市,"4,461 tCO2",4461,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=996400007&office=西部処理場,神戸市,西部処理場,兵庫県,996400007,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
神戸市,9000020281000,996400007,兵庫県神戸市,公務（他に分類されるものを除く） 地方公務 市町村の機関 市町村の機関,"10,000 人",（記載なし）,（記載なし）,玉津処理場,水道業,兵庫県神戸市,"3,889 tCO2",3889,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=996400007&office=玉津処理場,神戸市,玉津処理場,兵庫県,996400007,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
神戸市,9000020281000,996400007,兵庫県神戸市,公務（他に分類されるものを除く） 地方公務 市町村の機関 市町村の機関,"10,000 人",（記載なし）,（記載なし）,市役所本庁舎,地方公務,兵庫県神戸市,"3,185 tCO2",3185,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=996400007&office=市役所本庁舎,神戸市,市役所本庁舎,兵庫県,996400007,公務（他に分類されるものを除く） 地方公務 市町村の機関 市町村の機関
神戸市,9000020281000,996400007,兵庫県神戸市,公務（他に分類されるものを除く） 地方公務 市町村の機関 市町村の機関,"10,000 人",（記載なし）,（記載なし）,しあわせの村,社会保険・社会福祉・介護事業,兵庫県神戸市,"3,163 tCO2",3163,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=996400007&office=しあわせの村,神戸市,しあわせの村,兵庫県,996400007,医療，福祉 社会保険・社会福祉・介護事業 その他の社会保険・社会福祉・介護事業 他に分類されない社会保険・社会福祉・介護事業
神戸市,9000020281000,996400007,兵庫県神戸市,公務（他に分類されるものを除く） 地方公務 市町村の機関 市町村の機関,"10,000 人",（記載なし）,（記載なし）,御崎公園球技場,娯楽業,兵庫県神戸市,"2,192 tCO2",2192,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=996400007&office=御崎公園球技場,神戸市,御崎公園球技場,兵庫県,996400007,生活関連サービス業，娯楽業 娯楽業 スポーツ施設提供業 スポーツ施設提供業（別掲を除く）
神戸市,9000020281000,996400007,兵庫県神戸市,公務（他に分類されるものを除く） 地方公務 市町村の機関 市町村の機関,"10,000 人",（記載なし）,（記載なし）,東灘処理場,水道業,兵庫県神戸市,"1,477 tCO2",1477,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=996400007&office=東灘処理場,神戸市,東灘処理場,兵庫県,996400007,電気・ガス・熱供給・水道業 水道業 下水道業 下水道処理施設維持管理業
