事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
関西電力株式会社,3120001059632,580111183,大阪府大阪市,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等,"8,474 人",（記載なし）,（記載なし）,舞鶴発電所,電気業,京都府舞鶴市,"538,602 tCO2",538602,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580111183&office=舞鶴発電所,関西電力株式会社,舞鶴発電所,京都府,580111183,電気・ガス・熱供給・水道業 電気業 電気業 発電業
関西電力株式会社,3120001059632,580111183,大阪府大阪市,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等,"8,474 人",（記載なし）,（記載なし）,姫路第二発電所,電気業,兵庫県姫路市,"155,751 tCO2",155751,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580111183&office=姫路第二発電所,関西電力株式会社,姫路第二発電所,兵庫県,580111183,電気・ガス・熱供給・水道業 電気業 電気業 発電業
関西電力株式会社,3120001059632,580111183,大阪府大阪市,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等,"8,474 人",（記載なし）,（記載なし）,堺港発電所,電気業,大阪府堺市,"90,836 tCO2",90836,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580111183&office=堺港発電所,関西電力株式会社,堺港発電所,大阪府,580111183,電気・ガス・熱供給・水道業 電気業 電気業 発電業
関西電力株式会社,3120001059632,580111183,大阪府大阪市,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等,"8,474 人",（記載なし）,（記載なし）,御坊発電所,電気業,和歌山県御坊市,"65,608 tCO2",65608,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580111183&office=御坊発電所,関西電力株式会社,御坊発電所,和歌山県,580111183,電気・ガス・熱供給・水道業 電気業 電気業 発電業
関西電力株式会社,3120001059632,580111183,大阪府大阪市,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等,"8,474 人",（記載なし）,（記載なし）,姫路第一発電所,電気業,兵庫県姫路市,"64,870 tCO2",64870,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580111183&office=姫路第一発電所,関西電力株式会社,姫路第一発電所,兵庫県,580111183,電気・ガス・熱供給・水道業 電気業 電気業 発電業
関西電力株式会社,3120001059632,580111183,大阪府大阪市,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等,"8,474 人",（記載なし）,（記載なし）,南港発電所,電気業,大阪府大阪市,"63,277 tCO2",63277,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580111183&office=南港発電所,関西電力株式会社,南港発電所,大阪府,580111183,電気・ガス・熱供給・水道業 電気業 電気業 発電業
関西電力株式会社,3120001059632,580111183,大阪府大阪市,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等,"8,474 人",（記載なし）,（記載なし）,赤穂発電所,電気業,兵庫県赤穂市,"52,950 tCO2",52950,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580111183&office=赤穂発電所,関西電力株式会社,赤穂発電所,兵庫県,580111183,電気・ガス・熱供給・水道業 電気業 電気業 発電業
関西電力株式会社,3120001059632,580111183,大阪府大阪市,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等,"8,474 人",（記載なし）,（記載なし）,堺ＬＮＧセンター,ガス業,大阪府堺市,"29,237 tCO2",29237,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580111183&office=堺ＬＮＧセンター,関西電力株式会社,堺ＬＮＧセンター,大阪府,580111183,電気・ガス・熱供給・水道業 ガス業 ガス業 ガス製造業
関西電力株式会社,3120001059632,580111183,大阪府大阪市,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等,"8,474 人",（記載なし）,（記載なし）,美浜発電所,電気業,福井県美浜町,"11,196 tCO2",11196,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580111183&office=美浜発電所,関西電力株式会社,美浜発電所,福井県,580111183,電気・ガス・熱供給・水道業 電気業 電気業 発電業
関西電力株式会社,3120001059632,580111183,大阪府大阪市,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等,"8,474 人",（記載なし）,（記載なし）,大飯発電所,電気業,福井県おおい町,"7,253 tCO2",7253,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580111183&office=大飯発電所,関西電力株式会社,大飯発電所,福井県,580111183,電気・ガス・熱供給・水道業 電気業 電気業 発電業
関西電力株式会社,3120001059632,580111183,大阪府大阪市,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等,"8,474 人",（記載なし）,（記載なし）,新北別館,電気業,大阪府大阪市,"6,595 tCO2",6595,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580111183&office=新北別館,関西電力株式会社,新北別館,大阪府,580111183,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等
関西電力株式会社,3120001059632,580111183,大阪府大阪市,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等,"8,474 人",（記載なし）,（記載なし）,関西電力病院,医療業,大阪府大阪市,"4,005 tCO2",4005,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580111183&office=関西電力病院,関西電力株式会社,関西電力病院,大阪府,580111183,医療，福祉 医療業 病院 一般病院
関西電力株式会社,3120001059632,580111183,大阪府大阪市,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等,"8,474 人",（記載なし）,（記載なし）,本店,電気業,大阪府大阪市,"3,369 tCO2",3369,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580111183&office=本店,関西電力株式会社,本店,大阪府,580111183,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等
関西電力株式会社,3120001059632,580111183,大阪府大阪市,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等,"8,474 人",（記載なし）,（記載なし）,高浜発電所,電気業,福井県高浜町,"1,878 tCO2",1878,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580111183&office=高浜発電所,関西電力株式会社,高浜発電所,福井県,580111183,電気・ガス・熱供給・水道業 電気業 電気業 発電業
