事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業,推移_合計_千tCO2_2023
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,防衛医科大学校,その他の教育，学習支援業,埼玉県所沢市,"25,876 tCO2",25876,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=防衛医科大学校,防衛省,防衛医科大学校,埼玉県,990006001,教育，学習支援業 その他の教育，学習支援業 職業・教育支援施設 職員教育施設・支援業,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,航空自衛隊千歳基地,国家公務,北海道千歳市,"22,864 tCO2",22864,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=航空自衛隊千歳基地,防衛省,航空自衛隊千歳基地,北海道,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,陸上自衛隊東千歳駐屯地,国家公務,北海道千歳市,"17,380 tCO2",17380,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=陸上自衛隊東千歳駐屯地,防衛省,陸上自衛隊東千歳駐屯地,北海道,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,航空自衛隊三沢基地,国家公務,青森県三沢市,"14,826 tCO2",14826,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=航空自衛隊三沢基地,防衛省,航空自衛隊三沢基地,青森県,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,防衛省市ヶ谷庁舎,国家公務,東京都新宿区,"11,711 tCO2",11711,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=防衛省市ヶ谷庁舎,防衛省,防衛省市ヶ谷庁舎,東京都,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,陸上自衛隊真駒内駐屯地,国家公務,北海道札幌市,"10,490 tCO2",10490,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=陸上自衛隊真駒内駐屯地,防衛省,陸上自衛隊真駒内駐屯地,北海道,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,陸上自衛隊旭川駐屯地,国家公務,北海道旭川市,"10,317 tCO2",10317,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=陸上自衛隊旭川駐屯地,防衛省,陸上自衛隊旭川駐屯地,北海道,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,航空自衛隊　入間基地,国家公務,埼玉県狭山市,"9,697 tCO2",9697,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=航空自衛隊　入間基地,防衛省,航空自衛隊　入間基地,埼玉県,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,陸上自衛隊富士駐屯地,国家公務,静岡県小山町,"8,857 tCO2",8857,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=陸上自衛隊富士駐屯地,防衛省,陸上自衛隊富士駐屯地,静岡県,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,海上自衛隊硫黄島航空基地,国家公務,東京都小笠原村,"8,411 tCO2",8411,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=海上自衛隊硫黄島航空基地,防衛省,海上自衛隊硫黄島航空基地,東京都,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,防衛装備庁千歳試験場,学術・開発研究機関,北海道千歳市,"8,350 tCO2",8350,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=防衛装備庁千歳試験場,防衛省,防衛装備庁千歳試験場,北海道,990006001,学術研究，専門・技術サービス業 学術・開発研究機関 自然科学研究所 工学研究所,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,海上自衛隊八戸航空基地,国家公務,青森県八戸市,"8,056 tCO2",8056,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=海上自衛隊八戸航空基地,防衛省,海上自衛隊八戸航空基地,青森県,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,航空自衛隊小牧基地,国家公務,愛知県小牧市,"7,730 tCO2",7730,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=航空自衛隊小牧基地,防衛省,航空自衛隊小牧基地,愛知県,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,海上自衛隊第１術科学校,国家公務,広島県江田島市,"7,649 tCO2",7649,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=海上自衛隊第１術科学校,防衛省,海上自衛隊第１術科学校,広島県,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,防衛省　海上自衛隊　下総航空基地,国家公務,千葉県柏市,"7,478 tCO2",7478,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=防衛省　海上自衛隊　下総航空基地,防衛省,防衛省　海上自衛隊　下総航空基地,千葉県,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,航空自衛隊浜松基地,国家公務,静岡県浜松市,"7,417 tCO2",7417,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=航空自衛隊浜松基地,防衛省,航空自衛隊浜松基地,静岡県,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,陸上自衛隊朝霞駐屯地,国家公務,東京都練馬区,"7,193 tCO2",7193,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=陸上自衛隊朝霞駐屯地,防衛省,陸上自衛隊朝霞駐屯地,東京都,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,陸上自衛隊島松駐屯地,国家公務,北海道恵庭市,"6,916 tCO2",6916,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=陸上自衛隊島松駐屯地,防衛省,陸上自衛隊島松駐屯地,北海道,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,陸上自衛隊帯広駐屯地,国家公務,北海道帯広市,"6,521 tCO2",6521,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=陸上自衛隊帯広駐屯地,防衛省,陸上自衛隊帯広駐屯地,北海道,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
防衛省,9000012120001,990006001,東京都新宿区,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,（記載なし）,（記載なし）,（記載なし）,陸上自衛隊北千歳駐屯地,国家公務,北海道千歳市,"6,220 tCO2",6220,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=990006001&office=陸上自衛隊北千歳駐屯地,防衛省,陸上自衛隊北千歳駐屯地,北海道,990006001,公務（他に分類されるものを除く） 国家公務 行政機関 行政機関,990006001
