事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業,推移_合計_千tCO2_2022
電源開発株式会社,6010001050764,985452408,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"1,862 人",9513,JP3551200003,橘湾火力発電所,電気業,徳島県阿南市,"545,201 tCO2",545201,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985452408&office=橘湾火力発電所,電源開発株式会社,橘湾火力発電所,徳島県,985452408,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
電源開発株式会社,6010001050764,985452408,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"1,862 人",9513,JP3551200003,松浦火力発電所,電気業,長崎県松浦市,"475,228 tCO2",475228,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985452408&office=松浦火力発電所,電源開発株式会社,松浦火力発電所,長崎県,985452408,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
電源開発株式会社,6010001050764,985452408,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"1,862 人",9513,JP3551200003,竹原火力発電所,電気業,広島県竹原市,"447,377 tCO2",447377,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985452408&office=竹原火力発電所,電源開発株式会社,竹原火力発電所,広島県,985452408,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
電源開発株式会社,6010001050764,985452408,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"1,862 人",9513,JP3551200003,松島火力発電所,電気業,長崎県西海市,"312,262 tCO2",312262,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985452408&office=松島火力発電所,電源開発株式会社,松島火力発電所,長崎県,985452408,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
電源開発株式会社,6010001050764,985452408,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"1,862 人",9513,JP3551200003,磯子火力発電所,電気業,神奈川県横浜市,"269,086 tCO2",269086,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985452408&office=磯子火力発電所,電源開発株式会社,磯子火力発電所,神奈川県,985452408,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
電源開発株式会社,6010001050764,985452408,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"1,862 人",9513,JP3551200003,石川石炭火力発電所,電気業,沖縄県うるま市,"143,457 tCO2",143457,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985452408&office=石川石炭火力発電所,電源開発株式会社,石川石炭火力発電所,沖縄県,985452408,電気・ガス・熱供給・水道業 電気業 電気業 発電業,985452408.0
電源開発株式会社,6010001050764,985452408,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"1,862 人",9513,JP3551200003,高砂火力発電所,電気業,兵庫県高砂市,"129,825 tCO2",129825,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985452408&office=高砂火力発電所,電源開発株式会社,高砂火力発電所,兵庫県,985452408,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
電源開発株式会社,6010001050764,985452408,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"1,862 人",9513,JP3551200003,鬼首地熱発電所,電気業,宮城県大崎市,"8,125 tCO2",8125,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985452408&office=鬼首地熱発電所,電源開発株式会社,鬼首地熱発電所,宮城県,985452408,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
電源開発株式会社,6010001050764,985452408,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"1,862 人",9513,JP3551200003,小出電力所　奥清津事務所,電気業,新潟県湯沢町,"3,482 tCO2",3482,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985452408&office=小出電力所　奥清津事務所,電源開発株式会社,小出電力所　奥清津事務所,新潟県,985452408,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
電源開発株式会社,6010001050764,985452408,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"1,862 人",9513,JP3551200003,北山川電力所,電気業,奈良県下北山村,"3,289 tCO2",3289,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985452408&office=北山川電力所,電源開発株式会社,北山川電力所,奈良県,985452408,電気・ガス・熱供給・水道業 電気業 電気業 発電業,
電源開発株式会社,6010001050764,985452408,東京都中央区,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"1,862 人",9513,JP3551200003,本店,電気業,東京都中央区,"2,562 tCO2",2562,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985452408&office=本店,電源開発株式会社,本店,東京都,985452408,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等,
