company_name,organization_type,location,region,sector,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_classification,long_term_target_year,net_zero_status,net_zero_year,ba15_status,target_classification_long,reason_for_extension_or_removal,date_updated
"Sekisui House, LTD",Corporate,Japan,Asia,Homebuilding,Targets set,1.5°C,FY2030,Targets set,1.5°C,FY2050,Targets set,FY2050,BA1.5 member,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,06/03/2025
TIS Inc.,Corporate,Japan,Asia,Software and Services,Targets set,1.5°C,FY2030,Targets set,1.5°C,FY2050,Targets set,FY2050,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,22/06/2023
Tsubakimoto Chain Co.,Corporate,Japan,Asia,Electrical Equipment and Machinery,Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,15/06/2023
Asahi Kasei Homes Corporation,Corporate,Japan,Asia,"Consumer Durables, Household and Personal Products",Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,06/07/2023
ESPEC Corp.,Corporate,Japan,Asia,Electrical Equipment and Machinery,Targets set,1.5°C,2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,06/07/2023
"ISHIZUKA GLASS CO., LTD.",Corporate,Japan,Asia,Containers and Packaging,Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,29/06/2023
"Recruit Holdings Co., Ltd.",Corporate,Japan,Asia,Professional Services,Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,01/06/2023
UNITED ARROWS LTD.,Corporate,Japan,Asia,Retailing,Targets set,Well-below 2°C,2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,25/05/2023
Advantest Corporation,Corporate,Japan,Asia,Electrical Equipment and Machinery,Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,03/02/2022
"Aeon Co., Ltd.",Corporate,Japan,Asia,Food and Staples Retailing,Targets set,1.5°C,2030,,,,Commitment removed,,BA1.5 member,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,17/11/2022
"AEON MALL Co., Ltd.",Corporate,Japan,Asia,Real Estate,Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,28/03/2024
AGC Inc.,Corporate,Japan,Asia,Building Products,Targets set,Well-below 2°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,12/01/2023
AISIN CORPORATION,Corporate,Japan,Asia,Automobiles and Components,Targets set,1.5°C,FY2031,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,07/12/2023
"Ajinomoto Co., Inc.",Corporate,Japan,Asia,Food and Beverage Processing,Targets set,1.5°C,FY2030,Targets set,1.5°C,FY2050,Targets set,FY2050,BA1.5 member,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,09/01/2025
"AMADA CO.,LTD.",Corporate,Japan,Asia,Technology Hardware and Equipment,Targets set,1.5°C,2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,05/01/2023
ANA Holdings Inc.,Corporate,Japan,Asia,Air Transportation - Airlines,Targets set,Well-below 2°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,08/12/2022
Anritsu Corporation,Corporate,Japan,Asia,Technology Hardware and Equipment,Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,08/02/2024
Asahi Group Holdings Ltd.,Corporate,Japan,Asia,Food and Beverage Processing,Targets set,1.5°C,2030,Targets set,1.5°C,2040,Targets set,2040,BA1.5 member,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,18/07/2024
"Asahi Woodtec Co., Ltd.",Corporate,Japan,Asia,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Targets set,Well-below 2°C,FY2031,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,26/05/2022
"Asia Air Survey Co.,Ltd.",Corporate,Japan,Asia,Professional Services,Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,08/02/2024
ASICS Corporation,Corporate,Japan,Asia,"Textiles, Apparel, Footwear and Luxury Goods",Targets set,1.5°C,2030,,,,Commitment removed,,BA1.5 member,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,15/04/2021
ASKUL Corporation,Corporate,Japan,Asia,Retailing,Targets set,1.5°C,FY2030,Targets set,1.5°C,FY2050,Targets set,FY2050,BA1.5 member,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,07/03/2024
Astellas Pharma Inc.,Corporate,Japan,Asia,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,19/01/2023
Azbil Corporation,Corporate,Japan,Asia,Electrical Equipment and Machinery,Targets set,1.5°C,FY2030,Targets set,1.5°C,FY2049,Targets set,FY2049,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,07/11/2024
"BELLSYSTEM24 HOLDINGS, INC.",Corporate,Japan,Asia,Telecommunication Services,Targets set,1.5°C,FY2030,Targets set,1.5°C,FY2040,Targets set,FY2040,BA1.5 member,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,25/01/2024
"Benesse Corporation, Inc.",Corporate,Japan,Asia,Education Services,Targets set,1.5°C,2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,29/09/2022
BIPROGY Inc.,Corporate,Japan,Asia,Software and Services,Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,25/07/2024
Bridgestone Corporation,Corporate,Japan,Asia,Tires,Targets set,Well-below 2°C,2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,23/02/2023
"Brother Industries, Ltd.",Corporate,Japan,Asia,Technology Hardware and Equipment,Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,12/06/2025
"Bunka Shutter Co., Ltd.",Corporate,Japan,Asia,Construction Materials,Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,16/11/2023
CANON INC.,Corporate,Japan,Asia,Technology Hardware and Equipment,Targets set,1.5°C,2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,02/11/2023
"CASIO COMPUTER CO., LTD.",Corporate,Japan,Asia,"Consumer Durables, Household and Personal Products",Targets set,Well-below 2°C,2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,22/04/2021
TDK Corporation,Corporate,Japan,Asia,Electrical Equipment and Machinery,Targets set,1.5°C,FY2030,Targets set,1.5°C,FY2050,Targets set,FY2050,BA1.5 member,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,13/03/2025
"Chugai Pharmaceutical Co., Ltd.",Corporate,Japan,Asia,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5°C,2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,16/12/2021
"CITIZEN WATCH CO., LTD.",Corporate,Japan,Asia,Electrical Equipment and Machinery,Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,05/01/2023
Comany Inc.,Corporate,Japan,Asia,Building Products,Targets set,1.5°C,2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,16/04/2020
COMSYS Holdings Corporation,Corporate,Japan,Asia,Construction and Engineering,Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,23/11/2023
"Dai Nippon Printing Co., Ltd.",Corporate,Japan,Asia,"Trading Companies and Distributors, and Commercial Services and Supplies",Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,22/05/2025
"Daiichi Sankyo Co., Ltd.",Corporate,Japan,Asia,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5°C,FY2030,,,,Committed,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,24/08/2023
DAIKEN CORPORATION,Corporate,Japan,Asia,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Targets set,Well-below 2°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,06/07/2023
"Daiseki Co., Ltd.",Corporate,Japan,Asia,Solid Waste Management Utilities,Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,08/12/2022
"Daito Trust Construction Co., Ltd.",Corporate,Japan,Asia,Construction and Engineering,Targets set,1.5°C,2030,Targets set,1.5°C,2050,Targets set,2050,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,01/02/2024
"Daiwa House Industry Co., Ltd.",Corporate,Japan,Asia,Real Estate,Targets set,1.5°C,FY2031,Targets set,1.5°C,FY2050,Targets set,FY2050,BA1.5 member,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,20/07/2023
Dentsu Group Inc.,Corporate,Japan,Asia,Media,Targets set,1.5°C,2030,Targets set,1.5°C,2040,Targets set,2040,BA1.5 member,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,07/11/2024
DIC Corporation,Corporate,Japan,Asia,Chemicals,Targets set,Well-below 2°C,2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,16/02/2023
"DMG Mori Co., Ltd.",Corporate,Japan,Asia,Electrical Equipment and Machinery,Targets set,1.5°C,2030,Targets set,1.5°C,2050,Targets set,2050,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,18/07/2024
DTS CORPORATION,Corporate,Japan,Asia,Software and Services,Targets set,1.5°C,FY2030,,,,Commitment removed,,BA1.5 member,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,21/03/2024
E・J Holdings Inc.,Corporate,Japan,Asia,Professional Services,Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,09/11/2023
"Eisai Co., Ltd.",Corporate,Japan,Asia,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5°C,FY2030,,,,,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,04/01/2024
