ticker,is_gx,tcfd_flag,sbti_flag
1301,0,1,0
1305,0,0,0
1306,0,0,0
1308,0,0,0
1309,0,0,0
130A,0,0,0
1311,0,0,0
1319,0,0,0
131A,0,0,0
1320,0,0,0
1321,0,0,0
1322,0,0,0
1325,0,0,0
1326,0,0,0
1328,0,0,0
1329,0,0,0
132A,0,0,0
1330,0,0,0
1332,0,1,0
1333,0,1,0
133A,0,0,0
1343,0,0,0
1345,0,0,0
1346,0,0,0
1348,0,0,0
1349,0,0,0
134A,0,0,0
1356,0,0,0
1357,0,0,0
1358,0,0,0
135A,0,0,0
1360,0,0,0
1364,0,0,0
1365,0,0,0
1366,0,0,0
1367,0,0,0
1368,0,0,0
1369,0,0,0
136A,0,0,0
1375,0,0,0
1376,0,0,0
1377,0,1,0
1379,0,0,0
137A,0,0,0
1380,0,0,0
1381,0,0,0
1382,0,0,0
1383,0,0,0
1384,0,0,0
138A,0,0,0
1397,0,0,0
1398,0,0,0
1399,0,0,0
139A,0,0,0
1401,0,0,0
1407,0,0,0
140A,0,0,0
1414,0,0,0
1417,0,0,0
1418,0,0,0
1419,0,0,0
141A,0,0,0
1420,0,0,0
1429,0,0,0
142A,0,0,0
1430,0,0,0
1431,0,0,0
1432,0,0,0
1433,0,1,0
1434,0,0,0
1435,0,0,0
1436,0,0,0
1438,0,0,0
143A,0,0,0
1443,0,0,0
1444,0,0,0
1445,0,0,0
1446,0,0,0
1447,0,0,0
144A,1,0,0
1450,0,0,0
1452,0,0,0
1456,0,0,0
1457,0,0,0
1458,0,0,0
1459,0,0,0
145A,0,0,0
1466,0,0,0
1469,0,0,0
146A,0,0,0
1472,0,0,0
1473,0,0,0
1474,0,0,0
1475,0,0,0
1476,0,0,0
1477,0,0,0
1478,0,0,0
1479,0,0,0
147A,0,0,0
1480,0,0,0
1481,0,0,0
1482,0,0,0
1483,0,0,0
1484,0,0,0
1485,0,0,0
1486,0,0,0
1487,0,0,0
1488,0,0,0
1489,0,0,0
148A,0,0,0
1490,0,0,0
1491,0,0,0
1493,0,0,0
1494,0,0,0
1495,0,0,0
1496,0,0,0
1497,0,0,0
1498,0,0,0
1499,0,0,0
149A,0,0,0
150A,0,0,0
1514,0,0,0
1515,0,1,0
1518,0,0,0
151A,0,0,0
152A,0,0,0
153A,0,0,0
1540,0,0,0
1541,0,0,0
1542,0,0,0
1543,0,0,0
1545,0,0,0
1546,0,0,0
1547,0,0,0
154A,0,0,0
1550,0,0,0
1551,0,0,0
1554,0,0,0
1555,0,0,0
1557,0,0,0
1559,0,0,0
155A,0,0,0
1560,0,0,0
1563,0,0,0
1566,0,0,0
1568,0,0,0
1569,0,0,0
156A,0,1,0
1570,0,0,0
1571,0,0,0
1572,0,0,0
1573,0,0,0
1577,0,0,0
1578,0,0,0
1579,0,0,0
157A,0,0,0
1580,0,0,0
1585,0,0,0
1586,0,0,0
158A,0,0,0
1591,0,0,0
1592,0,0,0
1593,0,0,0
1595,0,0,0
1596,0,0,0
1597,0,0,0
1599,0,0,0
159A,0,0,0
1605,0,0,0
160A,0,0,0
1615,0,0,0
1617,0,0,0
1618,0,0,0
1619,0,0,0
161A,0,0,0
1620,0,0,0
1621,0,0,0
1622,0,0,0
1623,0,0,0
1624,0,0,0
1625,0,0,0
1626,0,0,0
1627,0,0,0
1628,0,0,0
1629,0,0,0
162A,0,0,0
1630,0,0,0
1631,0,0,0
1632,0,0,0
1633,0,0,0
163A,0,0,0
164A,0,0,0
1651,0,0,0
1652,0,0,0
1653,0,0,0
1654,0,0,0
1655,0,0,0
1656,0,0,0
1657,0,0,0
1658,0,0,0
1659,0,0,0
1660,0,0,0
1662,1,0,0
1663,0,0,0
166A,0,0,0
1671,0,0,0
1672,0,0,0
1673,0,0,0
1674,0,0,0
1675,0,0,0
1676,0,0,0
1677,0,0,0
1678,0,0,0
1679,0,0,0
167A,0,0,0
1680,0,0,0
1681,0,0,0
1684,0,0,0
1685,0,0,0
1686,0,0,0
1687,0,0,0
1688,0,0,0
1689,0,0,0
168A,0,0,0
1690,0,0,0
1691,0,0,0
1692,0,0,0
1693,0,0,0
1694,0,0,0
1695,0,0,0
1696,0,0,0
1697,0,0,0
1698,0,0,0
1699,0,0,0
170A,0,0,0
1711,0,0,0
1712,0,1,0
1716,0,1,0
1717,0,1,0
1718,0,0,0
1719,1,0,0
171A,0,0,0
1720,1,1,0
1721,0,0,0
1723,0,0,0
1724,0,0,0
1726,0,0,0
172A,0,0,0
1736,0,0,0
173A,0,0,0
1758,0,0,0
175A,0,0,0
1762,0,0,0
1764,0,0,0
1766,0,0,0
1768,0,0,0
176A,1,0,0
1770,0,0,0
1773,0,0,0
1776,0,0,0
177A,0,0,0
1780,0,1,0
1783,0,0,0
1786,0,1,0
1787,0,0,0
1788,0,0,0
178A,0,0,0
1793,0,0,0
1795,0,0,0
1798,0,0,0
1799,0,0,0
179A,0,0,0
1801,1,1,0
1802,1,1,0
1803,1,1,0
1807,1,0,0
1808,0,1,0
180A,0,0,0
1810,0,0,0
1811,0,0,0
1812,1,1,0
1813,0,1,0
1814,0,1,0
1815,0,1,0
181A,0,0,0
1820,0,1,0
1821,1,1,0
1822,0,0,0
1826,0,0,0
1827,0,0,0
1828,0,0,0
182A,0,0,0
1833,1,1,0
1835,0,1,0
183A,0,0,0
1840,0,0,0
1841,0,0,0
1844,0,0,0
1847,0,1,0
1848,0,0,0
184A,0,0,0
1850,0,0,0
1852,0,1,0
1853,0,0,0
185A,0,0,0
1860,1,1,0
1861,0,1,0
1866,0,0,0
1867,0,0,0
186A,0,0,0
1870,0,1,0
1871,0,0,0
1873,0,0,0
1878,1,1,0
1879,0,0,0
1882,0,0,0
1885,1,0,0
1887,0,1,0
1888,0,1,0
188A,0,0,0
1890,1,0,0
1893,1,1,0
1897,0,0,0
1898,1,0,0
1899,0,0,0
189A,0,0,0
1904,0,1,0
1905,0,0,0
1909,0,0,0
190A,0,0,0
1911,1,1,0
1914,0,0,0
191A,0,0,0
1921,0,0,0
1925,1,1,0
1926,0,1,0
1928,1,1,0
1929,0,0,0
192A,0,0,0
1930,0,0,0
1934,0,1,0
1938,0,0,0
1939,0,1,0
1941,0,1,0
1942,0,1,0
1944,0,1,0
1945,1,1,0
1946,0,1,0
1948,0,0,0
1949,0,1,0
194A,0,0,0
1950,0,1,0
1951,0,1,0
1952,0,1,0
1959,0,0,0
195A,0,0,0
1960,0,0,0
1961,0,1,0
1963,1,0,0
1964,0,0,0
1965,0,0,0
1966,0,0,0
1967,0,1,0
1968,0,0,0
1969,1,1,0
196A,0,0,0
1972,0,0,0
1975,0,1,0
1976,0,1,0
1979,0,0,0
197A,0,0,0
1980,0,1,0
1981,0,0,0
1982,0,0,0
198A,0,0,0
1992,0,0,0
1994,0,0,0
1997,0,0,0
199A,0,0,0
2001,0,1,0
2002,0,1,0
2003,0,0,0
2004,0,1,0
2009,0,0,0
200A,0,0,0
2011,0,0,0
2012,0,0,0
2013,0,0,0
2014,0,0,0
2015,0,0,0
2016,0,0,0
2017,0,0,0
2018,0,0,0
2019,0,0,0
201A,0,0,0
202A,0,0,0
2031,0,0,0
2032,0,0,0
2033,0,0,0
2034,0,0,0
2036,0,0,0
2037,0,0,0
2038,0,0,0
2039,0,0,0
203A,0,0,0
2040,0,0,0
2041,0,0,0
2042,0,0,0
