gx_company_name,ticker,mapped_company_name
ＴＯＴＯ株式会社,5332,ＴＯＴＯ
愛三工業株式会社,7283,愛三工業
愛知製鋼株式会社,5482,愛知製鋼
旭化成株式会社,3407,旭化成
アサヒグループホールディングス株式会社,2502,アサヒグループホールディングス
アズビル株式会社,6845,アズビル
石塚硝子株式会社,5204,石塚硝子
石原ケミカル株式会社,4462,石原ケミカル
いすゞ自動車株式会社,7202,いすゞ自動車
出光興産株式会社,5019,出光興産
インフォメティス株式会社,281A,インフォメティス
エア・ウォーター株式会社,4088,エア・ウォーター
王子ホールディングス株式会社,3861,王子ホールディングス
オーエスジー株式会社,6136,オーエスジー
大倉工業株式会社,4221,大倉工業
大塚ホールディングス株式会社,4578,大塚ホールディングス
小野薬品工業株式会社,4528,小野薬品工業
オムロン株式会社,6645,オムロン
カナデビア株式会社,7004,カナデビア
株式会社ＩＨＩ,7013,ＩＨＩ
株式会社ＵＡＣＪ,5741,ＵＡＣＪ
株式会社 アイシン,7259,アイシン
株式会社アシックス,7936,アシックス
株式会社アマダ,6113,アマダ
株式会社アマノ,6436,アマノ
株式会社アーレスティ,5852,アーレスティ
株式会社伊藤園,2593,伊藤園
株式会社イトーキ,7972,イトーキ
株式会社エフ・シー・シー,7296,エフ・シー・シー
株式会社荏原製作所,6361,荏原製作所
株式会社遠藤照明,6932,遠藤照明
株式会社大阪ソーダ,4046,大阪ソーダ
株式会社大阪チタニウムテクノロジーズ,5726,大阪チタニウムテクノロジーズ
株式会社オキサイド,6521,オキサイド
株式会社カネカ,4118,カネカ
株式会社キッツ,6498,キッツ
株式会社クボタ,6326,クボタ
株式会社クラレ,3405,クラレ
株式会社神戸製鋼所,5406,神戸製鋼所
株式会社光陽社,7946,光陽社
株式会社駒井ハルテック,5915,駒井ハルテック
株式会社コロナ,5909,コロナ
株式会社ジェイテクト,6473,ジェイテクト
株式会社島津製作所,7701,島津製作所
株式会社西部技研,6223,西部技研
株式会社ダイセル,4202,ダイセル
株式会社ダイフク,6383,ダイフク
株式会社ダイヘン,6622,ダイヘン
株式会社長府製作所,5946,長府製作所
株式会社ティラド,7236,ティラド
株式会社デンソー,6902,デンソー
株式会社東海理化電機製作所,6995,東海理化電機製作所
株式会社東光高岳,6617,東光高岳
株式会社トクヤマ,4043,トクヤマ
株式会社豊田自動織機,6201,豊田自動織機
株式会社酉島製作所,6363,酉島製作所
株式会社中山製鋼所,5408,中山製鋼所
株式会社日本触媒,4114,日本触媒
株式会社ノーリツ,5943,ノーリツ
ノリタケ株式会社,5331,ノリタケ
株式会社日立製作所,6501,日立製作所
株式会社フジクラ,5803,フジクラ
株式会社ブリヂストン,5108,ブリヂストン
株式会社明電舎,6508,明電舎
株式会社村田製作所,6981,村田製作所
株式会社ユーグレナ,2931,ユーグレナ
株式会社ヨロズ,7294,ヨロズ
株式会社レゾナック・ホールディングス,4004,レゾナック・ホールディングス
川崎重工業株式会社,7012,川崎重工業
キオクシアホールディングス株式会社,285A,キオクシアホールディングス
木村工機株式会社,6231,木村工機
共英製鋼株式会社,5440,共英製鋼
京セラ株式会社,6971,京セラ
キリンホールディングス株式会社,2503,キリンホールディングス
合同製鐵株式会社,5410,合同製鐵
古河電気工業株式会社,5801,古河電気工業
コスモエネルギーホールディングス株式会社,5021,コスモエネルギーホールディングス
コニカミノルタ株式会社,4902,コニカミノルタ
小林製薬株式会社,4967,小林製薬
堺化学工業株式会社,4078,堺化学工業
酒井重工業株式会社,6358,酒井重工業
サカタインクス株式会社,4633,サカタインクス
三協立山株式会社,5932,三協立山
サンメッセ株式会社,7883,サンメッセ
三洋化成工業株式会社,4471,三洋化成工業
四国化成ホールディングス株式会社,4099,四国化成ホールディングス
シャープ株式会社,6753,シャープ
シライ電子工業株式会社,6658,シライ電子工業
新日本電工株式会社,5563,新日本電工
