company_name,ticker,company_name_norm
極洋,1301,極洋
ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,1305,ｉＦｒｅｅＥＴＦ ＴＯＰＩＸ（年１回決算型）
ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,1306,ＮＥＸＴ ＦＵＮＤＳ ＴＯＰＩＸ連動型上場投信
上場インデックスファンドＴＯＰＩＸ,1308,上場インデックスファンドＴＯＰＩＸ
ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,1309,ＮＥＸＴ ＦＵＮＤＳ ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信
Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,130A,Ｖｅｒｉｔａｓ Ｉｎ Ｓｉｌｉｃｏ
ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,1311,ＮＥＸＴ ＦＵＮＤＳ ＴＯＰＩＸ Ｃｏｒｅ ３０連動型上場投信
ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,1319,ＮＥＸＴ ＦＵＮＤＳ 日経３００株価指数連動型上場投信
ＣＣＮグループ,131A,ＣＣＮグループ
ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,1320,ｉＦｒｅｅＥＴＦ 日経２２５（年１回決算型）
ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,1321,ＮＥＸＴ ＦＵＮＤＳ 日経２２５連動型上場投信
上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ Ｆｕｎｄ ＣＳＩ３００
ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,1325,ＮＥＸＴ ＦＵＮＤＳ ブラジル株式指数・ボベスパ連動型上場投信
ＳＰＤＲゴールド・シェア,1326,ＳＰＤＲゴールド・シェア
ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,1328,ＮＥＸＴ ＦＵＮＤＳ 金価格連動型上場投信
ｉシェアーズ・コア　日経２２５　ＥＴＦ,1329,ｉシェアーズ・コア 日経２２５ ＥＴＦ
アイエヌホールディングス,132A,アイエヌホールディングス
上場インデックスファンド２２５,1330,上場インデックスファンド２２５
ニッスイ,1332,ニッスイ
マルハニチロ,1333,マルハニチロ
グローバルＸ　超短期米国債　ＥＴＦ,133A,グローバルＸ 超短期米国債 ＥＴＦ
ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,1343,ＮＥＸＴ ＦＵＮＤＳ 東証ＲＥＩＴ 指数連動型上場投信
上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型
ＭＡＸＩＳ　日経２２５上場投信,1346,ＭＡＸＩＳ 日経２２５上場投信
ＭＡＸＩＳ　トピックス上場投信,1348,ＭＡＸＩＳ トピックス上場投信
ＡＢＦ汎アジア債券インデックス・ファンド,1349,ＡＢＦ汎アジア債券インデックス・ファンド
アプライズ,134A,アプライズ
ＴＯＰＩＸベア２倍上場投信,1356,ＴＯＰＩＸベア２倍上場投信
ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,1357,ＮＥＸＴ ＦＵＮＤＳ 日経平均ダブルインバース・インデックス連動型上場投信
上場インデックスファンド日経レバレッジ指数,1358,上場インデックスファンド日経レバレッジ指数
ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A,ＶＲＡＩＮ Ｓｏｌｕｔｉｏｎ
日経平均ベア２倍上場投信,1360,日経平均ベア２倍上場投信
ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,1364,ｉシェアーズ ＪＰＸ日経４００ ＥＴＦ
ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,1365,ｉＦｒｅｅＥＴＦ 日経平均レバレッジ・インデックス
ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,1366,ｉＦｒｅｅＥＴＦ 日経平均ダブルインバース・インデックス
ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,1367,ｉＦｒｅｅＥＴＦ ＴＯＰＩＸレバレッジ（２倍）指数
ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,1368,ｉＦｒｅｅＥＴＦ ＴＯＰＩＸダブルインバース（－２倍）指数
Ｏｎｅ　ＥＴＦ　日経２２５,1369,Ｏｎｅ ＥＴＦ 日経２２５
三興商事,136A,三興商事
ユキグニファクトリー,1375,ユキグニファクトリー
カネコ種苗,1376,カネコ種苗
サカタのタネ,1377,サカタのタネ
ホクト,1379,ホクト
Ｃｏｃｏｌｉｖｅ,137A,Ｃｏｃｏｌｉｖｅ
秋川牧園,1380,秋川牧園
アクシーズ,1381,アクシーズ
ホーブ,1382,ホーブ
ベルグアース,1383,ベルグアース
ホクリヨウ,1384,ホクリヨウ
光フードサービス,138A,光フードサービス
ＳＭＤＡＭ　日経２２５上場投信,1397,ＳＭＤＡＭ 日経２２５上場投信
ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,1398,ＳＭＤＡＭ 東証ＲＥＩＴ指数上場投信
上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ
東日本地所,139A,東日本地所
エムビーエス,1401,エムビーエス
ウエストホールディングス,1407,ウエストホールディングス
ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,140A,ｉＦｒｅｅＥＴＦ 米国１０年国債先物インバース
ショーボンドホールディングス,1414,ショーボンドホールディングス
ミライト・ワン,1417,ミライト・ワン
インターライフホールディングス,1418,インターライフホールディングス
タマホーム,1419,タマホーム
トライアルホールディングス,141A,トライアルホールディングス
サンヨーホームズ,1420,サンヨーホームズ
日本アクア,1429,日本アクア
ジンジブ,142A,ジンジブ
ファーストコーポレーション,1430,ファーストコーポレーション
Ｌｉｂ　Ｗｏｒｋ,1431,Ｌｉｂ Ｗｏｒｋ
動力,1432,動力
ベステラ,1433,ベステラ
ＪＥＳＣＯホールディングス,1434,ＪＥＳＣＯホールディングス
