ticker,yfinance_long_name,yfinance_short_name,english_name_norm,is_instrument,instrument_reason,source
1301,"Kyokuyo Co., Ltd.",KYOKUYO CO LTD,"KYOKUYOCO.,LTD.",0,,cache
1305,iFreeETF TOPIX (Yearly Dividend Type),DAIWA ASSET MANAGEMENT IFREEETF,IFREEETFTOPIX(YEARLYDIVIDENDTYPE),1,Index keyword: TOPIX (long name),cache
1306,NEXT FUNDS TOPIX Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIXEXCHANGETRADEDFUND,1,Fund keyword (long name),cache
1308,Amova Exchange Traded Index Fund TOPIX,AMOVA ASSET MANAGEMENT CO LTD E,AMOVAEXCHANGETRADEDINDEXFUNDTOPIX,1,Fund keyword (long name),cache
1309,NEXT FUNDS ChinaAMC SSE50 Index Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSCHINAAMCSSE50INDEXEXCHANGETRADEDFUND,1,Fund keyword (long name),cache
130A,,VERITAS IN SILICO INC,VERITASINSILICO,0,,cache
1311,NEXT FUNDS TOPIX Core 30 Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIXCORE30EXCHANGETRADEDFUND,1,Fund keyword (long name),cache
1319,NEXT FUNDS Nikkei 300 Index Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSNIKKEI300INDEXEXCHANGETRADEDFUND,1,Fund keyword (long name),cache
131A,,"131A.T,0P0001S5TC,0","131A.T,0P0001S5TC,0",0,,cache
1320,iFreeETF Nikkei225 (Yearly Dividend Type),DAIWA ASSET MANAGEMENT IFREEETF,IFREEETFNIKKEI225(YEARLYDIVIDENDTYPE),0,,cache
1321,NEXT FUNDS Nikkei 225 Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSNIKKEI225EXCHANGETRADEDFUND,1,Fund keyword (long name),cache
1322,Listed Index Fund China A Share (Panda) E Fund CSI300,AMOVA ASSET MANAGEMENT CO LTD L,LISTEDINDEXFUNDCHINAASHARE(PANDA)EFUNDCSI300,1,Fund keyword (long name),cache
1325,NEXT FUNDS Ibovespa Linked Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSIBOVESPALINKEDEXCHANGETRADEDFUND,1,Fund keyword (long name),cache
1326,SPDR Gold Shares,SPDR GOLD TRUST GOLD SHARES NPV,SPDRGOLDSHARES,1,Trust keyword (short name),cache
1328,NEXT FUNDS Gold Price Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSGOLDPRICEEXCHANGETRADEDFUND,1,Fund keyword (long name),cache
1329,iShares Core Nikkei 225 ETF,BLACKROCK JAPAN CO LTD ISHARES ,ISHARESCORENIKKEI225ETF,1,ETF keyword (long name),cache
132A,"IN Holdings CO., LTD.","132A.T,0P0001S8UJ,0","INHOLDINGSCO.,LTD.",0,,cache
1330,Amova Exchange Traded Index Fund 225,AMOVA ASSET MANAGEMENT CO LTD N,AMOVAEXCHANGETRADEDINDEXFUND225,1,Fund keyword (long name),cache
1332,Nissui Corporation,NISSUI CORPORATION,NISSUI,0,,cache
1333,Maruha Nichiro Corporation,MARUHA NICHIRO CORPORATION,MARUHANICHIRO,0,,cache
133A,Global X Ultra Short-Term T-Bill ETF,GLOBAL X JAPAN CO LTD GLOBAL X ,GLOBALXULTRASHORT-TERMT-BILLETF,1,ETF keyword (long name),cache
1343,NEXT FUNDS REIT INDEX ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSREITINDEXETF,1,ETF keyword (long name),cache
1345,Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index),AMOVA ASSET MANAGEMENT CO LTD L,LISTEDINDEXFUNDJ-REIT(TOKYOSTOCKEXCHANGEREITINDEX),1,REIT keyword (long name),cache
1346,MAXIS NIKKEI225 ETF,MITSUBISHI UFJ ASSET MANAGEMENT,MAXISNIKKEI225ETF,1,ETF keyword (long name),cache
1348,MAXIS TOPIX ETF,MITSUBISHI UFJ ASSET MANAGEMENT,MAXISTOPIXETF,1,ETF keyword (long name),cache
1349,ABF Pan Asia Bond Index,STATE STREET GBL ADVISORS SINGA,ABFPANASIABONDINDEX,1,Index keyword (long name),cache
134A,,"134A.T,0P0001SAA7,0","134A.T,0P0001SAA7,0",0,,cache
1356,TOPIX Bear -2x ETF,SIMPLEX ASSET MANAGEMENT CO LTD,TOPIXBEAR-2XETF,1,ETF keyword (long name),cache
1357,NEXT FUNDS Nikkei 225 Double Inverse Index ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSNIKKEI225DOUBLEINVERSEINDEXETF,1,ETF keyword (long name),cache
1358,Listed Index Fund Nikkei Leveraged Index,AMOVA ASSET MANAGEMENT CO LTD L,LISTEDINDEXFUNDNIKKEILEVERAGEDINDEX,1,Fund keyword (long name),cache
135A,,VRAIN SOLUTION INC.,VRAINSOLUTIONINC.,0,,cache
1360,Nikkei225 Bear -2x ETF,SIMPLEX ASSET MANAGEMENT CO LTD,NIKKEI225BEAR-2XETF,1,ETF keyword (long name),cache
1364,iShares JPX-Nikkei 400 ETF,BLACKROCK JAPAN CO LTD ISHARES ,ISHARESJPX-NIKKEI400ETF,1,ETF keyword (long name),cache
1365,Daiwa ETF Japan Nikkei225 Leveraged Index,DAIWA ASSET MANAGEMENT IFREEETF,DAIWAETFJAPANNIKKEI225LEVERAGEDINDEX,1,ETF keyword (long name),cache
1366,Daiwa ETF Japan Nikkei225 Double Inverse Index,DAIWA ASSET MANAGEMENT IFREEETF,DAIWAETFJAPANNIKKEI225DOUBLEINVERSEINDEX,1,ETF keyword (long name),cache
1367,Daiwa ETF Japan TOPIX Leveraged (2x) Index,DAIWA ASSET MANAGEMENT IFREEETF,DAIWAETFJAPANTOPIXLEVERAGED(2X)INDEX,1,ETF keyword (long name),cache
