ticker,yfinance_long_name,yfinance_short_name,english_name_norm,is_instrument,instrument_reason,source
1301,"Kyokuyo Co., Ltd.",KYOKUYO CO LTD,"KYOKUYOCO.,LTD.",0,,cache
130A,,VERITAS IN SILICO INC,VERITASINSILICO,0,,cache
131A,,"131A.T,0P0001S5TC,0","131A.T,0P0001S5TC,0",0,,cache
1320,iFreeETF Nikkei225 (Yearly Dividend Type),DAIWA ASSET MANAGEMENT IFREEETF,IFREEETFNIKKEI225(YEARLYDIVIDENDTYPE),0,,cache
132A,"IN Holdings CO., LTD.","132A.T,0P0001S8UJ,0","INHOLDINGSCO.,LTD.",0,,cache
1332,Nissui Corporation,NISSUI CORPORATION,NISSUI,0,,cache
1333,Maruha Nichiro Corporation,MARUHA NICHIRO CORPORATION,MARUHANICHIRO,0,,cache
134A,,"134A.T,0P0001SAA7,0","134A.T,0P0001SAA7,0",0,,cache
135A,,VRAIN SOLUTION INC.,VRAINSOLUTIONINC.,0,,cache
136A,,"136A.T,0P0001SALU,0","136A.T,0P0001SALU,0",0,,cache
1375,"Yukiguni Factory Co., Ltd.",YUKIGUNI FACTORY CO LTD,"YUKIGUNIFACTORYCO.,LTD.",0,,cache
1376,"Kaneko Seeds Co., Ltd.",KANEKO SEEDS CO,"KANEKOSEEDSCO.,LTD.",0,,cache
1377,Sakata Seed Corporation,SAKATA SEED CORP,SAKATASEED,0,,cache
1379,Hokuto Corporation,HOKUTO CORP,HOKUTO,0,,cache
137A,,COCOLIVE INC,COCOLIVE,0,,cache
1380,"Akikawa Foods & Farms Co., Ltd.",AKIKAWA FOODS & FARMS,"AKIKAWAFOODSFARMSCO.,LTD.",0,,cache
1381,"AXYZ Co., Ltd.",AXYZ,"AXYZCO.,LTD.",0,,cache
1382,"HOB Co.,Ltd.",HOB CO.LTD,"HOBCO.,LTD.",0,,cache
1383,"Berg Earth Co.,Ltd.",BERG EARTH CO LTD,"BERGEARTHCO.,LTD.",0,,cache
1384,"Hokuryo Co., Ltd.",HOKURYO CO LTD,"HOKURYOCO.,LTD.",0,,cache
138A,,HIKARI FOOD SERVICE CO. LTD.,HIKARIFOODSERVICECO.LTD.,0,,cache
139A,,"139A.T,0P0001SCH7,0","139A.T,0P0001SCH7,0",0,,cache
1401,Mbs Inc,MBS INC,MBS,0,,cache
1407,West Holdings Corporation,WEST HOLDINGS CORP,WEST,0,,cache
1417,MIRAIT ONE Corporation,MIRAIT ONE CORPORATION,MIRAITONE,0,,cache
1418,"Interlife Holdings Co., Ltd.",INTERLIFE HLDG CO LTD,"INTERLIFEHOLDINGSCO.,LTD.",0,,cache
1419,"Tama Home Co., Ltd.",TAMA HOME CO LIMITED,"TAMAHOMECO.,LTD.",0,,cache
141A,"TRIAL Holdings, Inc.",TRIAL HOLDINGS INC,"TRIALHOLDINGS,INC.",0,,cache
1420,Sanyo Homes Corporation,SANYO HOMES CORPORATION,SANYOHOMES,0,,cache
1429,"Nippon Aqua Co., Ltd.",NIPPON AQUA CO LTD,"NIPPONAQUACO.,LTD.",0,,cache
142A,,JINJIB CO LTD,JINJIB,0,,cache
1430,First-corporation Inc.,FIRST-CORPORATION INC,FIRST-CORPORATIONINC.,0,,cache
1431,"Lib Work Co.,Ltd.",LIB WORK CO LTD,"LIBWORKCO.,LTD.",0,,cache
1432,DORYOKU Co Ltd,"1432.T,0P00016JSD,0",DORYOKU,0,,cache
1433,"Besterra Co., Ltd.",BESTERRA CO LTD,"BESTERRACO.,LTD.",0,,cache
1434,"Jesco Holdings, Inc.",JESCO HOLDINGS INC,"JESCOHOLDINGS,INC.",0,,cache
1435,"Robot Home, Inc.",ROBOT HOME INC,"ROBOTHOME,INC.",0,,cache
1436,GreenEnergy & Company Inc.,GREENENERGY & CO INC,GREENENERGYCOMPANYINC.,0,,cache
1438,"Gifu landscape architect Co., Ltd.",GIFU LANDSCAPE ARCHITECT CO LTD,"GIFULANDSCAPEARCHITECTCO.,LTD.",0,,cache
143A,,ISHIN CO LTD,ISHIN,0,,cache
1443,"Giken Holdings Co., Ltd.",GIKEN HOLDINGS CO LTD,"GIKENHOLDINGSCO.,LTD.",0,,cache
1444,"Nissou Co.,Ltd.",NISSOU CO LTD,"NISSOUCO.,LTD.",0,,cache
1445,"Hikari Holdings Co.,Ltd.","1445.T,0P0001DBK3,0","HIKARIHOLDINGSCO.,LTD.",0,,cache
1446,"CANDEAL Co.,Ltd",CANDEAL CO LTD,"CANDEALCO.,",0,,cache
1447,"SAAF Holdings Co.,Ltd.",SAAF HOLDINGS CO LTD,"SAAFHOLDINGSCO.,LTD.",0,,cache
