company_name,ticker,company_name_norm,is_gx
極洋,1301,極洋,0
ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,1305,ｉＦｒｅｅＥＴＦ ＴＯＰＩＸ（年１回決算型）,0
ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,1306,ＮＥＸＴ ＦＵＮＤＳ ＴＯＰＩＸ連動型上場投信,0
上場インデックスファンドＴＯＰＩＸ,1308,上場インデックスファンドＴＯＰＩＸ,0
ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,1309,ＮＥＸＴ ＦＵＮＤＳ ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,0
Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,130A,Ｖｅｒｉｔａｓ Ｉｎ Ｓｉｌｉｃｏ,0
ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,1311,ＮＥＸＴ ＦＵＮＤＳ ＴＯＰＩＸ Ｃｏｒｅ ３０連動型上場投信,0
ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,1319,ＮＥＸＴ ＦＵＮＤＳ 日経３００株価指数連動型上場投信,0
ＣＣＮグループ,131A,ＣＣＮグループ,0
ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,1320,ｉＦｒｅｅＥＴＦ 日経２２５（年１回決算型）,0
ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,1321,ＮＥＸＴ ＦＵＮＤＳ 日経２２５連動型上場投信,0
上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ Ｆｕｎｄ ＣＳＩ３００,0
ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,1325,ＮＥＸＴ ＦＵＮＤＳ ブラジル株式指数・ボベスパ連動型上場投信,0
ＳＰＤＲゴールド・シェア,1326,ＳＰＤＲゴールド・シェア,0
ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,1328,ＮＥＸＴ ＦＵＮＤＳ 金価格連動型上場投信,0
ｉシェアーズ・コア　日経２２５　ＥＴＦ,1329,ｉシェアーズ・コア 日経２２５ ＥＴＦ,0
アイエヌホールディングス,132A,アイエヌホールディングス,0
上場インデックスファンド２２５,1330,上場インデックスファンド２２５,0
ニッスイ,1332,ニッスイ,0
マルハニチロ,1333,マルハニチロ,0
