sbti_id,company_name,isin,lei,organization_type,location,region,sector,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_classification,long_term_target_year,net_zero_status,net_zero_year,full_target_language,ba15_status,ba15_date,target_classification_long,reason_for_extension_or_removal,date_updated
40009503,"Sekisui House, LTD",JP3420600003,529900GMNDOYQSAJAE76,Corporate,Japan,Asia,Homebuilding,Targets set,1.5°C,FY2030,Targets set,1.5°C,FY2050,Targets set,FY2050,"Overall Net-Zero Target: Sekisui House, Ltd. commits to reach net-zero greenhouse gas
emissions across the value chain by FY2050.
Near-Term Targets: Sekisui House, Ltd. commits to reduce absolute scope 1 and 2 GHG
emissions 42% by FY2030 from a FY2023 base year. Sekisui House, Ltd. also commits to
reduce absolute scope 3 GHG emissions from use of sold products 27% within the same
timeframe.
Long-Term Targets: Sekisui House, Ltd. commits to reduce absolute scope 1 and 2 GHG
emissions 90% by FY2050 from a FY2023 base year. Sekisui House, Ltd. also commits to
reduce absolute scope 3 GHG emissions 90% within the same timeframe.",BA1.5 member,01/10/2021,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,06/03/2025
40013142,TIS Inc.,JP3104890003,35380064HYEZXBQHDF07,Corporate,Japan,Asia,Software and Services,Targets set,1.5°C,FY2030,Targets set,1.5°C,FY2050,Targets set,FY2050,Overall Net-Zero Target TIS Inc. commits to reach net-zero GHG emissions across the value chain by FY2050 from a FY2019 base year. Near-Term Targets TIS Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50% by FY2030 from a FY2019 base year. TIS Inc. also commits to reduce absolute scope 3 GHG emissions 27.5% within the same timeframe. Long-Term Targets TIS Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2040 from a FY2019 base year. TIS Inc. also commits to reduce absolute scope 3 GHG emissions 90% by FY2050 from a FY2019 base year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,22/06/2023
40003156,Tsubakimoto Chain Co.,JP3535400000,NA,Corporate,Japan,Asia,Electrical Equipment and Machinery,Targets set,1.5°C,FY2030,,,,,,"Tsubakimoto Chain Co. commits to reduce absolute scope 1 and 2 GHG
emissions 42% by FY2030 from a FY2021 base year. Tsubakimoto Chain
Co. also commits to reduce absolute scope 3 GHG emissions from
purchased goods and services, and use of sold products 25% within the
same timeframe.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,15/06/2023
40005885,Asahi Kasei Homes Corporation,NA,NA,Corporate,Japan,Asia,"Consumer Durables, Household and Personal Products",Targets set,1.5°C,FY2030,,,,,,"Asahi Kasei Homes Corporation commits to reduce absolute scope 1 and 2
GHG emissions 55% by FY2030 from a FY2017 base year. Asahi Kasei
Homes Corporation also commits to reduce absolute scope 3 GHG
emissions 35% within the same timeframe. Asahi Kasei Homes Corporation
further commits that 72% of its suppliers by spend covering purchased
goods and services will have science-based targets by FY2027.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,06/07/2023
40011930,ESPEC Corp.,JP3469800001,,Corporate,Japan,Asia,Electrical Equipment and Machinery,Targets set,1.5°C,2030,,,,,,"ESPEC Corp. commits to reduce absolute scope 1 and scope 2 GHG
emissions 60% by 2030 from a 2019 base year. ESPEC Corp. also commits
to reduce absolute scope 3 GHG emissions from the use of sold products
and the end-of-life treatment of sold products 30% within the same
timeframe.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,06/07/2023
40004896,"ISHIZUKA GLASS CO., LTD.",,,Corporate,Japan,Asia,Containers and Packaging,Targets set,1.5°C,FY2030,,,,,,"ISHIZUKA GLASS CO., LTD. commits to reduce absolute scope 1 and 2
GHG emissions 50% by FY2030 from a FY2020 base year. ISHIZUKA
GLASS CO., LTD. also commits to reduce absolute scope 3 GHG emissions
from purchased goods and services 25% within the same timeframe.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,29/06/2023
40010025,"Recruit Holdings Co., Ltd.",JP3970300004,353800R2LRSMVVC4I806,Corporate,Japan,Asia,Professional Services,Targets set,1.5°C,FY2030,,,,,,"Recruit Holdings Co., Ltd. commits to reduce absolute scope 1 and 2 GHG
emissions 46.2% by FY2030 from a FY2019 base year. Recruit Holdings
Co., Ltd. also commits to reduce absolute scope 3 GHG emissions 30% by
FY2030 from a FY2019 base year.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,01/06/2023
40007691,UNITED ARROWS LTD.,JP3949400000,NA,Corporate,Japan,Asia,Retailing,Targets set,Well-below 2°C,2030,,,,,,"United Arrows Ltd commits to reduce absolute scope 1 and 2 GHG
emissions 30% by 2030 from a 2019 base year. United Arrows Ltd also
commits to reduce absolute scope 3 GHG emissions 15% within the same
timeframe.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,25/05/2023
40006934,Advantest Corporation,JP3122400009,353800EMK32PDKS9XR54,Corporate,Japan,Asia,Electrical Equipment and Machinery,Targets set,1.5°C,FY2030,,,,,,ADVANTEST CORPORATION commits to reduce absolute scope 1 and 2 GHG emissions 60% by FY2030 from a FY2018 base year. ADVANTEST CORPORATION also commits to reduce absolute scope 3 GHG emissions 15% within the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,03/02/2022
40004709,"Aeon Co., Ltd.",JP3388200002,5299009MXFL34SA71416,Corporate,Japan,Asia,Food and Staples Retailing,Targets set,1.5°C,2030,,,,Commitment removed,,AEON commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by 2030 from a 2019 base year. AEON also commits that 80% of its suppliers by emissions covering purchased goods and services will set science-based targets by 2021.,BA1.5 member,17/11/2022,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,17/11/2022
